N	2gram	Vinokur_St	Literetu
1313	образом не	2	1
1314	что здесь	2	1
1315	и там	1	1
1316	с текстом	1	1
1317	здесь между	2	1
1318	на две	1	1
1319	если мы	1	1
1320	и во	3	1
1321	ответа на	2	1
1322	для изучения	4	1
1323	же мере	1	1
1324	но именно	3	1
1325	в текстах	1	1
1326	в полтаве	1	1
1327	пушкин пишет	1	1
1328	только при	1	1
1329	характера и	1	1
1330	именно то	1	1
1331	говорил что	1	1
1332	для всего	1	1
1333	в каждый	1	1
1334	и глубоким	1	1
1335	на этот	5	1
1336	к изучению	1	1
1337	рода этот	1	1
1338	обращение к	1	1
1339	здесь и	1	1
1340	неприемлемый для	1	1
1341	у которого	1	1
1342	мн др	3	1
1343	собственному усмотрению	1	1
1344	я что	1	1
1345	только потому	2	1
1346	был подвиг	1	1
1347	исключительно в	1	1
1348	невозможна без	1	1
1349	с того	2	1
1350	обратиться к	1	1
1351	он написан	1	1
1352	высшей степени	1	1
1353	к началу	1	1
1354	об их	1	1
1355	не знают	1	1
1356	одних и	1	1
1357	вы увидите	1	1
1358	против этой	1	1
1359	когда речь	2	1
1360	нет ни	3	1
1361	и эстетическим	1	1
1362	написанная в	1	1
1363	того как	8	1
1364	нас не	3	1
1365	древней и	1	1
1366	который всегда	2	1
1367	особых объяснений	1	1
1368	голоса в	1	1
1369	горя от	1	1
1370	неудивительно что	2	1
1371	материала и	2	1
1372	от которого	2	1
1373	которых он	2	1
1374	и принципиально	1	1
1375	или с	2	1
1376	этой мысли	2	1
1377	еще страшнее	1	1
1378	человек является	1	1
1379	этот был	1	1
1380	ни на	3	1
1381	по пушкину	6	1
1382	которое должно	1	1
1383	моцарта и	1	1
1384	все это	13	1
1385	указание на	1	1
1386	о пушкине	9	1
1387	в первую	2	1
1388	другого но	1	1
1389	но одно	1	1
1390	о ее	1	1
1391	к месту	1	1
1392	слова не	1	1
1393	отступление от	1	1
1394	в виде	3	1
1395	целиком в	1	1
1396	было видно	1	1
1397	в таких	1	1
1398	что ни	2	1
1399	материал для	6	1
1400	от друга	1	1
1401	отказаться от	2	1
1402	от условностей	1	1
1403	пока в	1	1
1404	больше в	1	1
1405	или в	1	1
1406	что будет	1	1
1407	и вы	1	1
1408	который как	2	1
1409	нам от	1	1
1410	но эта	1	1
1411	это еще	1	1
1412	места в	3	1
1413	б с	2	1
1414	в эпоху	3	1
1415	к пушкину	5	1
1416	не те	1	1
1417	вообще не	5	1
1418	стихи и	1	1
1419	не открывается	1	1
1420	более что	2	1
1421	другой поэт	1	1
1422	на память	1	1
1423	положение в	1	1
1424	случае не	3	1
1425	заглядывали в	1	1
1426	не подлежит	2	1
1427	лежит на	1	1
1428	я бы	2	1
1429	говорят о	1	1
1430	иной раз	1	1
1431	основана на	2	1
1432	есть только	2	1
1433	последнее время	1	1
1434	на все	2	1
1435	говорит у	1	1
1436	по его	5	1
1437	не создает	1	1
1438	в новом	4	1
1439	мы находим	4	1
1440	только и	1	1
1441	нисколько не	3	1
1442	камня на	1	1
1443	в условиях	1	1
1444	это было	2	1
1445	на реального	1	1
1446	чем из	1	1
1447	его же	2	1
1448	говорит об	4	1
1449	или менее	2	1
1450	мечты в	1	1
1451	в одной	3	1
1452	мысли в	1	1
1453	и полностью	1	1
1454	не все	3	1
1455	в меру	1	1
1456	бы ни	3	1
1457	бы это	2	1
1458	него никто	1	1
1459	ему не	3	1
1460	писал как	1	1
1461	этих двух	4	1
1462	что эти	1	1
1463	на слушателей	1	1
1464	к одному	1	1
1465	за свою	3	1
1466	этого он	1	1
1467	и снова	1	1
1468	и эти	2	1
1469	что от	2	1
1470	этом утверждении	1	1
1471	было или	1	1
1472	всё что	1	1
1473	отсюда и	1	1
1474	начать с	2	1
1475	обстоятельством что	1	1
1476	усомниться в	1	1
1477	в наши	2	1
1478	читателей в	1	1
1479	две стороны	1	1
1480	к чему-то	1	1
1481	ни один	2	1
1482	не личная	1	1
1483	где я	1	1
1484	нашел в	1	1
1485	нельзя не	3	1
1486	а целых	1	1
1487	есть произведение	1	1
1488	реальной действительности	1	1
1489	не сказал	1	1
1490	читателя нужно	1	1
1491	он смотрел	1	1
1492	быть и	2	1
1493	в эпилоге	1	1
1494	к тем	1	1
1495	и их	3	1
1496	для глаз	1	1
1497	быть ни	1	1
1498	оказывается что	1	1
1499	конечно в	1	1
1500	в трех	1	1
1501	но дело	1	1
1502	не следует	1	1
1503	и и	2	1
1504	которую я	1	1
1505	ведь если	2	1
1506	данного текста	1	1
1507	три в	1	1
1508	и всякая	1	1
1509	все были	1	1
1510	этому поводу	4	1
1511	было указано	1	1
1512	разумеется в	2	1
1513	развивается в	1	1
1514	ставит себе	4	1
1515	но то	1	1
1516	знает и	2	1
1517	иначе в	2	1
1518	только поэзия	1	1
1519	признается что	1	1
1520	в книге	1	1
1521	к ней	1	1
1522	данного произведения	1	1
1523	на путь	1	1
1524	в литературном	3	1
1525	в плане	1	1
1526	к произведениям	1	1
1527	и понятным	1	1
1528	у меня	3	1
1529	это место	2	1
1530	тексты всех	1	1
1531	того времени	8	1
1532	в высшей	1	1
1533	с дороги	1	1
1534	же можно	1	1
1535	пушкина во	1	1
1536	о каком	1	1
1537	до ее	1	1
1538	но я	5	1
1539	не нам	1	1
1540	идет не	1	1
1541	в период	2	1
1542	только после	1	1
1543	эти два	1	1
1544	конце концов	2	1
1545	лучшем случае	1	1
1546	он с	1	1
1547	не писал	1	1
1548	противен мне	1	1
1549	к литературным	1	1
1550	в обеих	5	1
1551	со мною	1	1
1552	пять лет	3	1
