N	2gram	Propp_Isto	DiskursI
1311	у греков	1	1
1312	не исчерпывают	1	1
1313	независимо от	3	1
1314	у того	2	1
1315	наиболее ранняя	1	1
1316	иногда и	1	1
1317	казалось бы	1	1
1318	на меня	1	1
1319	о царе	1	1
1320	от отца	5	1
1321	в войне	1	1
1322	какой ситуации	1	1
1323	всех этих	6	1
1324	интерес представляет	1	1
1325	это была	1	1
1326	к смерти	1	1
1327	оказывается что	3	1
1328	за спиной	1	1
1329	здесь представляет	1	1
1330	в зеркало	1	1
1331	или иначе	2	1
1332	от того	4	1
1333	этих случаях	18	1
1334	что из	4	1
1335	думать что	3	1
1336	с двумя	1	1
1337	на смерть	1	1
1338	и часто	2	1
1339	возу с	1	1
1340	могло быть	2	1
1341	и принимает	1	1
1342	показывает как	3	1
1343	видели не	1	1
1344	формы его	2	1
1345	а отец	1	1
1346	героя это	1	1
1347	стал он	1	1
1348	для такого	1	1
1349	которые в	3	1
1350	говорилось выше	3	1
1351	миф не	1	1
1352	не можем	3	1
1353	также в	1	1
1354	этом и	2	1
1355	после которой	1	1
1356	это означает	3	1
1357	человека это	1	1
1358	этих форм	1	1
1359	из другой	2	1
1360	в сознании	1	1
1361	только после	3	1
1362	ли в	1	1
1363	вхождения в	1	1
1364	таким же	2	1
1365	и оно	2	1
1366	три года	2	1
1367	как вообще	1	1
1368	с соответствующими	2	1
1369	внесли в	1	1
1370	фигурирует в	1	1
1371	для героя	3	1
1372	дня а	1	1
