N	2gram	Losev_Vlad	Narrotol
1324	для такого	1	1
1325	и много	1	1
1326	вызывает в	1	1
1327	и вопреки	1	1
1328	не важно	1	1
1329	настаивать на	1	1
1330	жизни будущего	1	1
1331	рассуждает о	1	1
1332	своей встречи	1	1
1333	встречали у	1	1
1334	свидетельствуют о	4	1
1335	не желая	2	1
1336	все еще	1	1
1337	своим голосом	1	1
1338	в период	6	1
1339	и относительно	2	1
1340	интереса к	3	1
1341	для характеристики	3	1
1342	человек не	1	1
1343	ничего подобного	1	1
1344	не удалось	2	1
1345	однако все	1	1
1346	труд в	1	1
1347	сам а	1	1
1348	именно это	1	1
1349	который однако	1	1
1350	и совершенно	2	1
1351	в лице	1	1
1352	настоящего времени	1	1
1353	само по	1	1
1354	есть не	1	1
1355	котором он	2	1
