N	2gram	Bakhtin_sl	Narrotol
1294	что неизбежно	1	1
1295	направлено на	1	1
1296	есть только	1	1
1297	противном случае	1	1
1298	смысловую глубину	1	1
1299	практике его	1	1
1300	и со	2	1
1301	на всем	1	1
1302	остановимся на	2	1
1303	и глубже	1	1
1304	в новом	3	1
1305	не исключает	1	1
1306	нисколько не	3	1
1307	жизни между	1	1
1308	и оно	2	1
1309	все слова	3	1
1310	и смысл	1	1
1311	на его	9	1
1312	ограниченного в	1	1
1313	с другом	2	1
1314	не драматический	1	1
1315	и ответ	2	1
1316	в отвлечении	1	1
1317	условий но	1	1
1318	почти каждого	2	1
1319	остается вне	4	1
1320	ему не	2	1
1321	жизнь и	1	1
1322	в иные	3	1
1323	поскольку она	1	1
1324	будучи по	2	1
1325	на иные	1	1
1326	может иметь	3	1
1327	и ценностных	2	1
1328	освобождения от	1	1
1329	с самого	1	1
1330	героев при	1	1
1331	xx века	2	1
1332	оно в	1	1
1333	сопротивление или	1	1
1334	или целиком	2	1
1335	реален язык	1	1
1336	в самых	2	1
1337	и остаются	1	1
1338	именно этим	1	1
1339	материал для	1	1
1340	человеком как	1	1
1341	ведь и	1	1
1342	просто не	2	1
1343	кругозоре и	1	1
1344	характерно для	1	1
1345	но она	2	1
1346	и их	6	1
1347	но даже	1	1
1348	к данному	1	1
1349	слова во	1	1
1350	конечно в	2	1
1351	нем самом	1	1
1352	и времени	1	1
1353	авторской и	1	1
1354	косвенной речи	2	1
1355	этих случаях	2	1
1356	или как	4	1
1357	здесь например	1	1
1358	понимании их	1	1
1359	иной степени	12	1
1360	в самостоятельный	2	1
1361	его отношение	1	1
1362	еще на	1	1
1363	сложности и	1	1
1364	чем они	1	1
1365	событием самого	1	1
1366	и время	1	1
1367	в подлинное	1	1
1368	по всей	3	1
1369	данного произведения	1	1
1370	жил в	1	1
1371	прямая речь	1	1
1372	в плане	11	1
1373	и борьба	2	1
1374	которое нельзя	2	1
1375	крайней мере	1	1
1376	всей вероятности	3	1
1377	в чужом	4	1
1378	ему самому	1	1
1379	произведения не	2	1
1380	оно живет	1	1
1381	не разрешают	1	1
1382	кишащее будущими	1	1
1383	на возможности	1	1
1384	нуждается в	3	1
1385	не единственно	1	1
1386	человек не	1	1
1387	может и	1	1
1388	для этого	4	1
1389	применимы к	1	1
1390	именно это	1	1
1391	как вещь	4	1
1392	и совершенно	1	1
1393	особенно у	2	1
1394	голоса в	2	1
1395	в жизненном	1	1
1396	есть не	2	1
1397	говорит не	1	1
1398	к литературным	1	1
1399	степени и	2	1
1400	себе а	1	1
1401	зрения здесь	1	1
1402	более того	5	1
1403	языки более	1	1
