N	2gram	Bakhtin_KF	Analitik
1296	содержание данного	1	1
1297	культуры с	1	1
1298	себя а	4	1
1299	в виде	2	1
1300	момента и	2	1
1301	к каждой	1	1
1302	и эта	2	1
1303	это в	1	1
1304	бытия в	5	1
1305	не это	1	1
1306	возможна только	1	1
1307	и объект	1	1
1308	само по	1	1
1309	это отнюдь	1	1
1310	вообще как	1	1
1311	для другого	4	1
1312	а я	1	1
1313	себе а	2	1
