N	2gram	Vinokur_St	slovoVRo
1309	так во	1	1
1310	ни была	2	1
1311	на свой	2	1
1312	когда он	1	1
1313	его исторического	1	1
1314	не находит	1	1
1315	но зато	1	1
1316	две точки	1	1
1317	от которых	1	1
1318	должны быть	4	1
1319	являются такими	1	1
1320	этот разрыв	1	1
1321	но даже	1	1
1322	всего его	1	1
1323	тех же	1	1
1324	и является	1	1
1325	в применении	3	1
1326	церкви и	1	1
1327	и тот	1	1
1328	отношений между	3	1
1329	настолько велико	1	1
1330	неотделим от	1	1
1331	за каждым	1	1
1332	совершенно новый	1	1
1333	еще в	3	1
1334	это то	1	1
1335	конечно все	1	1
1336	даже не	5	1
1337	большое значение	2	1
1338	до появления	1	1
1339	историческая и	1	1
1340	тем самым	2	1
1341	как мог	2	1
1342	борьбу за	1	1
1343	этого образа	2	1
1344	ведь если	2	1
1345	ведь на	1	1
1346	и всякая	1	1
1347	очень мало	4	1
1348	должны были	1	1
1349	здесь например	1	1
1350	то ни	2	1
1351	произведение не	1	1
1352	он считал	1	1
1353	тем или	3	1
1354	могла бы	1	1
1355	почти каждый	1	1
1356	на это	2	1
1357	с большой	1	1
1358	свою задачу	1	1
1359	ответы на	1	1
1360	отрицательную оценку	1	1
1361	иначе в	2	1
1362	как их	1	1
1363	нельзя не	3	1
1364	далеко от	2	1
1365	сохраняют в	1	1
1366	жил в	3	1
1367	содержанием и	1	1
1368	или так	1	1
1369	примеров из	5	1
1370	и своим	1	1
1371	и никогда	1	1
1372	что среди	1	1
1373	изучения и	1	1
1374	особенностей и	1	1
1375	над его	1	1
1376	на смертном	1	1
1377	роман а	1	1
1378	только так	1	1
1379	бы он	1	1
1380	решение этих	1	1
1381	этом и	2	1
1382	мысль в	1	1
1383	материалом не	1	1
1384	одни и	1	1
1385	в первой	12	1
1386	чтобы оно	1	1
1387	которая на	1	1
1388	ряде случаев	1	1
1389	в общем	2	1
1390	не разрешают	1	1
1391	б он	1	1
1392	характерны для	1	1
1393	иной раз	1	1
1394	которых очень	1	1
1395	же мы	1	1
1396	авторским языком	1	1
1397	на который	2	1
1398	говорить уже	1	1
1399	но кроме	1	1
1400	и свободной	1	1
1401	эти два	1	1
1402	которым он	1	1
1403	его времени	2	1
1404	речи о	1	1
1405	ни был	1	1
1406	а главное	1	1
1407	было глубоко	1	1
1408	процессе работы	1	1
1409	чтобы не	1	1
1410	уходит в	1	1
1411	сказать очень	1	1
1412	и совершенно	1	1
1413	бы воспроизводить	1	1
1414	поэзия и	1	1
1415	каждого из	3	1
1416	в лице	1	1
1417	на слова	1	1
1418	его современников	2	1
1419	в прямую	1	1
1420	служить своим	1	1
1421	на эту	5	1
1422	мы до	1	1
1423	в каком	4	1
1424	к литературным	1	1
1425	как общее	1	1
1426	можно только	1	1
