N	2gram	Tiupa_Teor	FransuaR
1308	и процесс	1	1
1309	начале этой	1	1
1310	античности в	1	1
1311	художественной формы	1	1
1312	литературе последних	1	1
1313	два эпизода	2	1
1314	моральных ценностей	1	1
1315	умения отрешиться	1	1
1316	по типу	1	1
1317	стремится к	1	1
1318	не ограничивается	2	1
1319	например так	1	1
1320	любые другие	1	1
1321	сторону его	1	1
1322	национальный язык	1	1
1323	слиться в	1	1
1324	и позволяет	3	1
1325	этим и	1	1
1326	и гамлета	1	1
1327	поэтому ему	1	1
1328	эту свободу	1	1
1329	этого события	1	1
1330	или иная	1	1
1331	как говорит	3	1
1332	возможным в	1	1
1333	же оно	1	1
1334	сознания как	1	1
1335	литературной речи	1	1
1336	того и	1	1
1337	связь со	1	1
1338	больше и	1	1
1339	хвалы или	1	1
1340	к вопросу	1	1
1341	частной жизни	2	1
1342	жизни то	2	1
1343	встрече с	1	1
1344	его эстетической	3	1
1345	что хотя	1	1
1346	войне и	2	1
1347	раскрывается во	1	1
1348	причастности к	3	1
1349	оно состоит	1	1
1350	говоря в	1	1
1351	героя и	6	1
1352	этой своей	1	1
1353	подробностями и	1	1
1354	время ее	1	1
1355	вполне сложившейся	1	1
1356	от содержания	1	1
1357	не один	1	1
1358	в рассказе	2	1
1359	процесс формирования	1	1
1360	мире на	1	1
1361	и последовательность	1	1
1362	в европейском	1	1
1363	неотделимо от	1	1
1364	еще два	1	1
1365	оказывается как	1	1
1366	или иное	1	1
1367	такого понимания	1	1
1368	на свое	1	1
1369	не совпадает	1	1
1370	себя за	1	1
1371	а тем	1	1
1372	мира выступает	1	1
1373	своей полноте	1	1
1374	подход к	1	1
1375	его личности	1	1
1376	о покупке	1	1
1377	примененные к	1	1
1378	узнает в	1	1
1379	материал из	1	1
1380	ряде произведений	1	1
1381	широкий и	1	1
1382	всю жизнь	1	1
1383	для построения	1	1
1384	стихийных бедствий	1	1
1385	отнюдь не	3	1
1386	события в	2	1
1387	употребления в	1	1
1388	пространственных и	1	1
1389	который выставляет	1	1
1390	чем выше	1	1
1391	бытия всякий	1	1
1392	на деле	2	1
1393	и против	1	1
1394	европейской традиции	1	1
1395	первому эпизоду	1	1
1396	к такой	2	1
1397	другие в	1	1
1398	полноту и	1	1
1399	этой жанровой	1	1
1400	событиями жизни	1	1
1401	связей с	1	1
1402	некоторых норм	1	1
1403	литературы как	3	1
1404	художественного творчества	5	1
1405	жизнь человеческого	2	1
1406	возвращения жизни	1	1
1407	с ума	1	1
1408	литературного произведения	11	1
1409	с предельной	1	1
1410	сводится к	12	1
1411	позиции в	1	1
1412	необходимо для	1	1
1413	в плоскости	1	1
1414	и одной	2	1
1415	не случайна	1	1
1416	с политической	1	1
1417	в исконном	1	1
1418	особого рода	7	1
1419	и вокруг	1	1
1420	фигуры и	1	1
1421	жизненного процесса	1	1
1422	человеческая жизнь	1	1
1423	напротив мы	1	1
1424	и будет	1	1
1425	и пусть	1	1
1426	о судьбе	1	1
1427	можно назвать	1	1
1428	по собственному	1	1
1429	такая картина	1	1
1430	с такими	1	1
1431	в смерти	1	1
1432	монолог в	1	1
1433	тому назад	1	1
1434	не приводит	1	1
1435	художественного мышления	3	1
1436	это требует	1	1
1437	нос в	1	1
1438	роли в	5	1
1439	эта внутренняя	1	1
1440	в стихах	1	1
1441	к другому	2	1
1442	ценностей жизни	2	1
1443	ах как	1	1
1444	то я	1	1
1445	смотрит и	1	1
1446	а язык	1	1
1447	которых можно	1	1
1448	типов но	1	1
1449	в прозе	2	1
1450	в предромантизме	1	1
1451	есть от	1	1
1452	и состоит	2	1
1453	профанация священного	1	1
1454	от горя	1	1
1455	более чем	1	1
1456	мира как	1	1
1457	даже сказать	1	1
1458	на какие-то	1	1
1459	во мне	2	1
1460	художественных произведений	1	1
1461	героем и	1	1
1462	не быть	1	1
1463	момент для	1	1
1464	оно является	1	1
1465	механический характер	1	1
1466	и теперь	1	1
1467	от морального	1	1
1468	и читателей	2	1
1469	обе эти	1	1
1470	вступает в	2	1
1471	отношении к	4	1
1472	и ему	1	1
1473	на основании	1	1
1474	и соответствующих	1	1
1475	ни были	1	1
1476	это образная	1	1
1477	и возможность	2	1
1478	это имеет	1	1
1479	тогда как	18	1
1480	к объекту	1	1
1481	и наоборот	2	1
1482	другого в	1	1
1483	состоит в	22	1
1484	свободу от	1	1
1485	знаменует не	1	1
1486	неотделима от	1	1
1487	его внешними	1	1
1488	в сфере	1	1
1489	непосредственным предметом	1	1
1490	и гротескные	1	1
1491	глубже чем	1	1
1492	в каждый	1	1
1493	переход к	1	1
1494	нем по	1	1
1495	она может	1	1
1496	глаза в	2	1
1497	по этой	1	1
1498	то или	1	1
1499	содержание первой	1	1
1500	а напротив	2	1
1501	другого и	1	1
1502	ее оболочек	1	1
1503	конечно с	1	1
1504	кажется таким	1	1
1505	и том	1	1
1506	как основной	1	1
1507	обращена к	1	1
1508	хранится в	1	1
1509	внутренняя граница	2	1
1510	не поддается	1	1
1511	автору и	1	1
1512	действительно является	1	1
1513	краткую характеристику	1	1
1514	в художественной	3	1
1515	веселую относительность	1	1
1516	эта встреча	1	1
1517	и создал	1	1
1518	возможность совершенно	1	1
1519	в широком	1	1
1520	им с	1	1
1521	праздничность в	1	1
1522	существования с	1	1
1523	мы рассмотрим	1	1
1524	кладет начало	1	1
1525	в присутствии	2	1
1526	как кризис	1	1
1527	и привлекает	1	1
1528	был но	1	1
1529	и скрытый	1	1
1530	тексте является	1	1
1531	мира я	1	1
1532	полубогов и	1	1
1533	как впрочем	1	1
1534	внешних и	1	1
1535	из дальнейшего	1	1
1536	о жизни	2	1
1537	совпадения с	1	1
1538	искусства как	2	1
1539	этом в	1	1
1540	можно предположить	1	1
1541	в любом	1	1
1542	зрения не	1	1
1543	в авторском	1	1
1544	по тем	1	1
1545	фридрих шлегель	1	1
1546	действующие лица	1	1
1547	становится не	1	1
1548	но этим	1	1
1549	и приобретает	1	1
1550	того или	6	1
1551	и смягчает	1	1
1552	ними здесь	1	1
1553	о различных	1	1
1554	праздника нет	1	1
1555	сама литература	1	1
1556	границами между	1	1
1557	каждом из	1	1
1558	случае если	1	1
1559	чистом виде	1	1
1560	помимо его	1	1
1561	единую систему	1	1
1562	традиции однако	1	1
1563	и иные	1	1
1564	всего только	1	1
1565	впервые становится	1	1
1566	написано и	1	1
1567	на меня	3	1
1568	а по	1	1
1569	словами из	1	1
1570	крайними пределами	1	1
1571	уровне не	1	1
1572	русского языка	1	1
1573	как явление	1	1
1574	но во	2	1
1575	достигается не	1	1
1576	означает что	1	1
1577	границ и	1	1
1578	наиболее глубокий	1	1
1579	тем или	2	1
1580	идет о	2	1
1581	человеческого сознания	1	1
1582	литературы они	1	1
1583	в большой	1	1
1584	своей цели	1	1
1585	текста и	1	1
1586	в ходе	5	1
1587	настоящему и	1	1
1588	художественного произведения	5	1
1589	свести к	1	1
1590	основания для	1	1
1591	рода а	1	1
1592	не отделен	1	1
1593	имеются две	1	1
1594	мяса с	1	1
1595	одним глазом	1	1
1596	перемещается в	1	1
1597	вольный фамильярный	1	1
1598	себя а	1	1
1599	когда для	1	1
1600	к простому	1	1
1601	вся система	1	1
1602	а другому	1	1
1603	ориентирована на	1	1
1604	точно и	1	1
1605	швырнул в	1	1
1606	в жизненном	1	1
1607	только такие	1	1
1608	или напротив	2	1
1609	типа так	1	1
1610	и возможностей	1	1
1611	разные формы	1	1
1612	этого в	1	1
1613	мы нигде	1	1
1614	в момент	3	1
1615	исходя из	1	1
1616	и любые	2	1
1617	все люди	1	1
1618	случае мы	1	1
1619	классицизма в	2	1
1620	требует от	1	1
1621	не несет	1	1
1622	ощутить свое	1	1
1623	которые будут	1	1
1624	из характернейших	1	1
1625	особенно продуктивной	1	1
1626	мыслится как	5	1
1627	их не	1	1
1628	читателей это	1	1
1629	на конец	1	1
1630	не следует	4	1
1631	а во-вторых	1	1
1632	мысль о	1	1
1633	к более	2	1
1634	и принципиальной	1	1
1635	каждая вещь	1	1
1636	это скорее	1	1
1637	нам уже	1	1
1638	над тем	1	1
1639	национальные языки	1	1
1640	этих исключительных	1	1
1641	говоря только	1	1
1642	однако это	1	1
1643	искусство слова	2	1
1644	общий знаменатель	1	1
1645	и праздничность	1	1
1646	искусство и	1	1
1647	деталей в	1	1
1648	обратное влияние	1	1
1649	в театральном	1	1
1650	и внутренний	1	1
1651	языка мы	1	1
1652	художественного восприятия	4	1
1653	уже готовой	1	1
1654	с позиций	4	1
1655	когда на	1	1
1656	художественное сознание	1	1
1657	лицом и	1	1
1658	восходит к	2	1
1659	чем за	1	1
1660	своей отъединенности	1	1
1661	иной мере	1	1
1662	одной общей	1	1
1663	восприниматься как	2	1
1664	становится возможной	1	1
1665	строго отграниченная	1	1
1666	мира этим	1	1
1667	такое совпадение	1	1
1668	именно таков	1	1
1669	значения этого	1	1
1670	форма жизни	1	1
1671	своих моментов	1	1
1672	из виду	2	1
1673	я думаю	1	1
1674	или говоря	2	1
1675	и речевой	1	1
1676	не становится	1	1
1677	и отвечает	1	1
1678	это существенно	1	1
1679	у себя	1	1
1680	в комнате	1	1
1681	как правило	5	1
1682	не оспаривает	1	1
1683	его труда	1	1
1684	такие специфические	2	1
1685	смыслом в	1	1
1686	еще одна	1	1
1687	исходит из	1	1
1688	не названо	1	1
1689	и способность	1	1
1690	в реальной	1	1
1691	речь о	1	1
1692	и внутренняя	1	1
1693	и другого	1	1
1694	слова ни	1	1
1695	что свобода	1	1
1696	едва ли	1	1
1697	большинстве своем	1	1
1698	возлагает на	1	1
1699	внутренней жизни	1	1
1700	ситуации и	1	1
1701	все мы	1	1
1702	специально для	1	1
1703	других факторов	1	1
1704	становление мира	1	1
1705	к общему	1	1
1706	стоит и	1	1
1707	они существенно	1	1
1708	и автором	1	1
1709	в христианском	1	1
1710	героев в	1	1
1711	и одну	1	1
1712	несколько иной	1	1
1713	не лишено	1	1
1714	народной жизни	1	1
1715	же самую	1	1
1716	внутренней стороны	1	1
1717	души и	1	1
1718	тем не	3	1
1719	но был	1	1
1720	в герое	1	1
1721	в одиночку	1	1
1722	все прочие	3	1
1723	внешнего мира	2	1
1724	в зависимости	1	1
1725	внутреннее единство	1	1
1726	личности к	2	1
1727	к чему	2	1
1728	не говорит	1	1
1729	по утверждению	1	1
1730	серьезного отношения	1	1
1731	первую очередь	1	1
1732	заполнить собою	1	1
1733	художественном произведении	1	1
1734	от одной	1	1
1735	текста но	2	1
1736	не мыслится	1	1
1737	смысловой значимости	1	1
1738	с острым	1	1
1739	менее важным	1	1
1740	принадлежат и	1	1
1741	пребывания в	1	1
1742	ею как	1	1
1743	на которую	1	1
1744	проявляет себя	1	1
1745	вошел в	1	1
1746	первой строфе	4	1
1747	лишь ее	1	1
1748	и праздника	1	1
1749	является таким	1	1
1750	есть свидетельство	1	1
1751	в структуре	2	1
1752	ему на	1	1
1753	чувства и	1	1
1754	с наукой	1	1
1755	же типа	1	1
1756	для художника	1	1
1757	исчезает и	1	1
1758	и внутреннюю	1	1
1759	его смысла	1	1
1760	внутренняя форма	1	1
1761	автору не	1	1
1762	к кому	1	1
1763	это может	2	1
1764	его организации	3	1
1765	да да	1	1
1766	изобразительные искусства	1	1
1767	воспринимать ее	1	1
1768	например не	1	1
1769	так называемого	1	1
1770	это придает	1	1
1771	силу своей	4	1
1772	одиночку с	1	1
1773	в тексты	1	1
1774	с которым	1	1
1775	принадлежит как	1	1
1776	столь же	3	1
1777	чтобы оно	1	1
1778	части на	1	1
1779	хомы брута	1	1
1780	чаще всего	1	1
1781	слова как	3	1
1782	вот он	1	1
1783	или иного	6	1
1784	основе всех	1	1
1785	чем и	2	1
1786	они представляются	1	1
1787	каждого из	1	1
1788	с системой	1	1
1789	пределы всего	1	1
1790	эдипа и	1	1
1791	такие и	1	1
1792	не позволяет	1	1
1793	одном случае	1	1
1794	сатиры как	1	1
1795	такова же	1	1
1796	через посредство	1	1
1797	и который	2	1
1798	живет в	1	1
1799	на ее	1	1
1800	в литературной	2	1
1801	для себя	3	1
1802	и мотивов	1	1
1803	такое историческое	1	1
1804	и конца	1	1
1805	природе и	1	1
1806	в общечеловеческом	1	1
1807	бы они	1	1
1808	первых же	1	1
1809	выступает не	1	1
1810	но чтобы	2	1
1811	это особого	1	1
1812	он тем	2	1
1813	смысла в	1	1
1814	эстетическое восприятие	1	1
1815	этом как	1	1
1816	мы понимаем	1	1
1817	оказывается в	3	1
1818	литературы но	1	1
1819	и делают	1	1
1820	однако что	1	1
1821	синтаксической конструкции	1	1
1822	времени особенно	1	1
1823	и специфическом	1	1
1824	их взаимная	1	1
1825	единственной в	1	1
1826	и позволило	1	1
1827	к нам	2	1
1828	с собою	1	1
1829	внешне не	1	1
1830	своему смыслу	1	1
1831	многие моменты	1	1
1832	у одного	2	1
1833	однозначности и	1	1
1834	собою в	2	1
1835	в аспекте	2	1
1836	имена в	1	1
1837	жеста и	1	1
1838	картина жизни	1	1
1839	для героя	1	1
1840	только одно	1	1
1841	художественный образ	1	1
1842	юмором в	1	1
1843	жизнь второй	1	1
1844	в обработке	1	1
1845	функционирование в	1	1
1846	взятое в	1	1
1847	то и	1	1
1848	каким бы	1	1
1849	его исторического	1	1
1850	можно лишь	1	1
1851	главе первой	1	1
1852	зависимости от	1	1
1853	людей как	1	1
1854	своем стремительном	1	1
1855	из которого	3	1
1856	в рамках	13	1
1857	литературных произведений	5	1
1858	направленной на	3	1
1859	оценки и	1	1
1860	впрочем и	1	1
1861	этим словом	1	1
1862	нимало не	1	1
1863	что сама	2	1
1864	ряд эпизодов	1	1
1865	что произведение	1	1
1866	руках и	1	1
1867	системы языка	1	1
1868	автора в	1	1
1869	первой главе	1	1
1870	это разделение	1	1
1871	к третьему	1	1
1872	т.е не	1	1
1873	человек должен	1	1
1874	к однозначности	1	1
1875	носителем и	1	1
1876	видим в	2	1
1877	и многих	1	1
1878	во внешней	1	1
1879	обнаруживает тот	1	1
1880	ему или	1	1
1881	этой игрой	1	1
1882	вышел в	1	1
1883	то она	1	1
1884	является весьма	1	1
1885	в сознании	1	1
1886	случайно они	1	1
1887	но оказывается	1	1
1888	жизни является	1	1
1889	данном контексте	2	1
1890	вещей но	1	1
1891	все с	1	1
1892	не забвение	1	1
1893	пришлось бы	1	1
1894	эта позиция	1	1
1895	а об	1	1
1896	его можно	1	1
1897	этого термина	1	1
1898	истории литературы	2	1
1899	что автор	1	1
1900	где мир	1	1
1901	известные нам	1	1
1902	подчеркнуть при	1	1
1903	произведения как	1	1
1904	который бы	1	1
1905	связи между	1	1
1906	на роль	1	1
1907	материала и	1	1
1908	своей причастности	1	1
1909	здесь остается	1	1
1910	нового понимания	1	1
1911	преимуществу ночной	1	1
1912	случае его	1	1
1913	первый момент	1	1
1914	с той	1	1
1915	мальчика а	1	1
1916	кто бы	1	1
1917	к определенному	1	1
1918	слова не	2	1
1919	речи по	1	1
1920	без этого	1	1
1921	делает например	1	1
1922	отказаться от	1	1
1923	просто как	1	1
1924	и внутренних	1	1
1925	главе в	1	1
1926	бытия и	1	1
1927	шекспира или	1	1
1928	картину и	1	1
1929	виду что	1	1
1930	иллюстрации к	1	1
1931	частности с	1	1
1932	сознания но	1	1
1933	на весьма	1	1
1934	чтобы быть	1	1
1935	стихи и	1	1
1936	перестают быть	1	1
1937	несовместимое с	1	1
1938	и непристойность	1	1
1939	ли не	1	1
1940	замысла и	1	1
1941	что юность	1	1
1942	в воображении	4	1
1943	мук и	1	1
1944	он же	1	1
1945	путь к	1	1
1946	маски это	1	1
1947	рождается не	1	1
1948	обычно в	1	1
1949	том случае	1	1
1950	никакая игра	1	1
1951	чужим в	1	1
1952	оно в	1	1
1953	он ни	1	1
1954	игра без	1	1
1955	является к	1	1
1956	приводят к	1	1
1957	замечательный образец	1	1
1958	как уже	2	1
1959	имеются и	2	1
1960	появление и	1	1
1961	и глубокий	1	1
1962	этом мире	2	1
1963	нельзя не	1	1
1964	на поле	1	1
1965	он выступает	1	1
1966	философской эстетики	1	1
1967	отклонения от	1	1
1968	просто не	1	1
1969	однако все	2	1
1970	с высокой	1	1
1971	служить и	1	1
1972	новых значений	1	1
1973	отношений между	1	1
1974	выделяются из	1	1
1975	перестанет быть	1	1
1976	и своя	1	1
1977	а этот	1	1
1978	ослабляет и	2	1
1979	но напротив	2	1
1980	с человеком	2	1
1981	и характерное	1	1
1982	над собою	1	1
1983	иначе в	1	1
1984	поэтому речевая	1	1
1985	и мире	2	1
1986	в литературном	1	1
1987	и каждая	1	1
1988	та или	1	1
1989	же об	1	1
1990	над его	1	1
1991	сказать в	1	1
1992	этом и	1	1
1993	является именно	1	1
1994	которыми он	1	1
1995	исканий и	1	1
1996	к пониманию	1	1
1997	говорить об	1	1
1998	карнавал переживаемый	1	1
1999	как целого	1	1
2000	лучшем случае	1	1
2001	а сама	1	1
2002	возможна только	1	1
2003	являются наиболее	1	1
