N	2gram	Tiupa_Disk	Formalny
1290	ни одно	2	1
1291	его жизнь	1	1
1292	утверждение в	1	1
1293	этом слово	1	1
1294	в историческом	2	1
1295	по своей	15	1
1296	собственно и	3	1
1297	первого и	2	1
1298	с ней	3	1
1299	этот период	1	1
1300	всего на	1	1
1301	и несколько	1	1
1302	например не	1	1
1303	другому в	1	1
1304	или меньшей	2	1
1305	так называемого	1	1
1306	и глубоко	1	1
1307	чем она	1	1
1308	одного сознания	1	1
1309	рода в	2	1
1310	на который	1	1
1311	что во	1	1
1312	исторической роли	1	1
1313	события общения	2	1
1314	оно имеет	1	1
1315	бы его	1	1
1316	не входят	1	1
1317	и каждый	1	1
1318	звучит в	1	1
1319	свелось к	1	1
1320	о его	1	1
1321	однако от	1	1
1322	которое мы	1	1
1323	истории русской	1	1
1324	это ощущение	1	1
1325	между романом	1	1
1326	форм в	1	1
1327	однако представление	1	1
1328	теми же	1	1
1329	образом в	1	1
1330	например о	1	1
1331	ней в	1	1
1332	в жанре	3	1
1333	чаще всего	1	1
1334	процесса и	1	1
1335	его к	1	1
1336	к политической	1	1
1337	из литературы	1	1
1338	высказывания не	2	1
1339	развития в	1	1
1340	последующего развития	1	1
1341	новеллы а	1	1
1342	которые лежат	1	1
1343	в лингвистике	3	1
1344	меньшей степени	1	1
1345	само становится	1	1
1346	одного и	5	1
1347	высказывания это	1	1
1348	еще одно	1	1
1349	лишь его	1	1
1350	познания в	1	1
1351	становится объектом	1	1
1352	это новое	1	1
1353	для многих	1	1
1354	она сама	2	1
1355	своего рода	15	1
1356	приобщаясь к	1	1
1357	мире и	2	1
1358	реализуется с	1	1
1359	случая и	2	1
1360	утверждать что	1	1
1361	на деле	1	1
1362	а потому	1	1
1363	в сказках	2	1
1364	к лицу	2	1
1365	он уже	1	1
1366	за ним	1	1
1367	что касается	2	1
1368	фабулы и	1	1
1369	не определяет	1	1
1370	как объект	1	1
1371	опирается на	2	1
1372	и деловой	1	1
1373	и должны	1	1
1374	понятие и	1	1
1375	такова же	1	1
1376	в случаях	1	1
1377	например ода	1	1
1378	в специальном	3	1
1379	рассказа и	1	1
1380	с миром	2	1
1381	типическая форма	2	1
1382	жанры в	2	1
1383	и романа	2	1
1384	стать объектом	1	1
1385	нашего времени	2	1
1386	из которых	1	1
1387	истории в	2	1
1388	в область	1	1
1389	интерес к	2	1
1390	разного рода	2	1
1391	с природой	1	1
1392	тематические и	1	1
1393	общения не	2	1
1394	смысле можно	1	1
1395	схемы и	1	1
1396	и делает	1	1
1397	связывается с	1	1
1398	то с	2	1
1399	самого по	1	1
1400	мере и	1	1
1401	том и	1	1
1402	позиции в	1	1
1403	только еще	1	1
1404	его жанр	1	1
1405	социального взаимодействия	2	1
1406	высказывания может	1	1
1407	текста и	2	1
1408	композиционной роли	1	1
1409	которое как	1	1
1410	самим собой	1	1
1411	ее своеобразие	1	1
1412	предполагать что	1	1
1413	в различные	1	1
1414	нем определенные	1	1
1415	в составе	5	1
1416	непосредственное общение	1	1
1417	мыслятся как	1	1
1418	может получить	1	1
1419	действительность с	1	1
1420	теории жанров	1	1
1421	всей ситуации	1	1
1422	которая соответствует	1	1
1423	и они	1	1
1424	для каждого	1	1
1425	ли не	3	1
1426	самого рассказывания	4	1
1427	отнесены к	1	1
1428	этот архитектонический	1	1
1429	поэзии и	1	1
1430	который не	2	1
1431	о некоторых	1	1
1432	о котором	2	1
1433	если можно	2	1
1434	является вопрос	1	1
1435	общий ценностный	1	1
1436	которая не	1	1
1437	на каждом	1	1
1438	апелляции к	1	1
1439	к которой	1	1
1440	не рассматривается	1	1
1441	своем собственном	1	1
1442	по крайней	3	1
1443	что из	1	1
1444	жизненной практике	1	1
1445	все сферы	1	1
1446	с традицией	1	1
1447	ориентация на	1	1
1448	собранных в	1	1
1449	принадлежит ему	1	1
1450	непосредственно и	1	1
1451	который при	1	1
1452	к сыну	2	1
1453	большей или	2	1
1454	жанровая концепция	1	1
1455	в прозе	2	1
1456	сил и	1	1
1457	и состоит	2	1
1458	жанр с	2	1
1459	как целое	1	1
1460	адекватное восприятие	1	1
1461	быту и	1	1
1462	его разновидностях	1	1
1463	не имеют	2	1
1464	на ценностной	1	1
1465	в слово	1	1
1466	жанров для	1	1
1467	в становлении	3	1
1468	задний план	1	1
1469	в психологических	1	1
1470	но здесь	2	1
1471	событий или	1	1
1472	мы его	1	1
1473	их сочетания	1	1
1474	на друга	1	1
1475	лежат в	1	1
1476	в зоне	1	1
1477	которое не	1	1
1478	а через	1	1
1479	теории прозы	1	1
1480	этом явлении	1	1
1481	конструктивная роль	1	1
1482	в середине	1	1
1483	поэтики которая	1	1
1484	приводит в	1	1
1485	но внутренняя	1	1
1486	высказывание и	1	1
1487	с литературой	1	1
1488	событие общения	1	1
1489	нет она	1	1
1490	которую он	1	1
1491	в лирической	1	1
1492	вслед за	1	1
1493	и различные	1	1
1494	есть она	1	1
1495	друга и	1	1
1496	чем не	3	1
1497	в новых	1	1
1498	и возможность	2	1
1499	тогда как	28	1
1500	в обоих	1	1
1501	становится поэтическим	1	1
1502	только это	1	1
1503	и наоборот	1	1
1504	он весь	1	1
1505	в творчестве	4	1
1506	их исторической	1	1
1507	высказывание от	1	1
1508	автора в	2	1
1509	событие которое	1	1
1510	совокупностью значений	1	1
1511	и там	1	1
1512	высказывания которые	2	1
1513	это конструктивное	1	1
1514	и роста	1	1
1515	событий в	1	1
1516	речи в	2	1
1517	мог бы	1	1
1518	положения что	1	1
1519	имеет своим	2	1
1520	исторического существования	1	1
1521	нами два	1	1
1522	на поэтическое	1	1
1523	термина и	1	1
1524	из первых	1	1
1525	в образе	1	1
1526	в определенную	1	1
1527	литературе с	1	1
1528	мысли не	1	1
1529	от понятия	1	1
1530	характерное для	1	1
1531	взаимодействия с	1	1
1532	быть все	1	1
1533	всю область	1	1
1534	столько в	1	1
1535	определяет и	1	1
1536	ее содержание	1	1
1537	теперь уже	1	1
1538	движения и	1	1
1539	только о	2	1
1540	во внутреннем	1	1
1541	внешнее и	1	1
1542	в лоне	1	1
1543	собой по	1	1
1544	постановки вопроса	1	1
1545	к содержанию	3	1
1546	сам этот	1	1
1547	воззрения на	2	1
1548	которого он	1	1
1549	знаменательно что	1	1
1550	может ощущаться	1	1
1551	как нельзя	1	1
1552	события и	1	1
1553	вместе со	1	1
1554	поэтому что	1	1
1555	этот термин	1	1
1556	но на	1	1
1557	единичное высказывание	1	1
1558	чувственно воспринимаемого	1	1
1559	содержания а	1	1
1560	единица языка	1	1
1561	почвой для	1	1
1562	мир в	1	1
1563	предполагается в	1	1
1564	его структуры	1	1
1565	по композиции	5	1
1566	этого она	1	1
1567	сколько в	1	1
1568	аналогичным образом	1	1
1569	историей как	1	1
1570	как наиболее	1	1
1571	же речь	1	1
1572	сходятся в	1	1
1573	сказать от	1	1
1574	на что	1	1
1575	существенно связаны	1	1
1576	еще и	1	1
1577	чего не	3	1
1578	этих жанровых	2	1
1579	же мере	1	1
1580	и наблюдения	1	1
1581	внешнем мире	1	1
1582	сложилась еще	1	1
1583	мире в	1	1
1584	же их	1	1
1585	только его	1	1
1586	и поэтики	1	1
1587	литературной эпохи	1	1
1588	многие из	1	1
1589	что так	1	1
1590	поэзии о	1	1
1591	в жизнь	1	1
1592	в общих	1	1
1593	что с	2	1
1594	случае его	1	1
1595	высказывания с	2	1
1596	не заметить	1	1
1597	видеть в	1	1
1598	в полном	2	1
1599	рассказываемое событие	2	1
1600	понимания этого	1	1
1601	лицом к	2	1
1602	вопросы не	1	1
1603	от остальной	1	1
1604	им с	1	1
1605	слова а	1	1
1606	различия между	3	1
1607	общения поэтому	1	1
1608	свойства в	1	1
1609	и литературной	1	1
1610	читателя в	1	1
1611	полнотой и	1	1
1612	просто как	2	1
1613	сама в	1	1
1614	жизни это	1	1
1615	этого не	1	1
1616	что к	1	1
1617	и глубокой	2	1
1618	а также	15	1
1619	слова но	1	1
1620	своим следствием	1	1
1621	и эволюции	1	1
1622	иного рода	1	1
1623	это еще	2	1
1624	возник и	1	1
1625	отца к	1	1
1626	их взаимоотношения	1	1
1627	различий между	1	1
1628	чтобы быть	1	1
1629	случае не	1	1
1630	исторической ситуации	1	1
1631	ряд иных	1	1
1632	с той	3	1
1633	о генезисе	1	1
1634	не подлежит	2	1
1635	цель и	1	1
1636	случае ясно	1	1
1637	если и	1	1
1638	есть в	3	1
1639	но по	1	1
1640	эти две	1	1
1641	а их	1	1
1642	художественной реальности	1	1
1643	дистанцию по	1	1
1644	есть типическая	1	1
1645	искусстве не	1	1
1646	свои формы	1	1
1647	на одном	1	1
1648	по своему	3	1
1649	основываясь на	1	1
1650	своих пределах	1	1
1651	них иногда	1	1
1652	об особом	1	1
1653	бы мы	1	1
1654	и художественного	1	1
1655	на возможность	1	1
1656	в ранний	2	1
1657	все наши	1	1
1658	вследствие чего	2	1
1659	образа из	1	1
1660	об этом	3	1
1661	говорит об	1	1
1662	и вообще	2	1
1663	некоторые типы	1	1
1664	не все	1	1
1665	факта в	1	1
1666	ему не	1	1
1667	на них	1	1
1668	как слово	1	1
1669	всю совокупность	1	1
1670	в г	2	1
1671	тем чем	1	1
1672	событие самого	2	1
1673	и внутреннее	1	1
1674	они сходятся	1	1
1675	с сохранением	1	1
1676	завершение в	1	1
1677	ей в	2	1
1678	его произведениях	1	1
1679	а его	1	1
1680	же к	1	1
1681	случае если	1	1
1682	для которых	1	1
1683	с актуальной	1	1
1684	в самых	1	1
1685	и остаются	1	1
1686	однако уже	2	1
1687	различных сфер	1	1
1688	также и	6	1
1689	данного жанра	10	1
1690	здесь совершенно	1	1
1691	и художественный	1	1
1692	по внутренним	1	1
1693	с языком	1	1
1694	здесь это	2	1
1695	истории а	1	1
1696	как таковые	1	1
1697	и композиция	1	1
1698	ориентироваться на	1	1
1699	как сущности	1	1
1700	от отца	1	1
1701	в аналогичном	1	1
1702	к данному	3	1
1703	частности в	2	1
1704	какова например	1	1
1705	слово живет	1	1
1706	общения там	1	1
1707	или из	2	1
1708	в начале	2	1
1709	в нашей	1	1
1710	и времени	1	1
1711	что служит	1	1
1712	своей основе	2	1
1713	рассказа как	4	1
1714	человека с	1	1
1715	которых она	1	1
1716	некоторых жанровых	1	1
1717	жеста и	1	1
1718	с понятием	2	1
1719	и часто	1	1
1720	первые два	1	1
1721	смысл высказывания	1	1
1722	герой не	1	1
1723	цель всех	2	1
1724	еще на	1	1
1725	не установлением	1	1
1726	могло быть	1	1
1727	составляет его	1	1
1728	всех его	1	1
1729	в книге	2	1
1730	направления его	1	1
1731	для обозначения	4	1
1732	рассказа в	2	1
1733	и социальные	1	1
1734	останется не	1	1
1735	пригоден для	1	1
1736	которые в	1	1
1737	с литературными	2	1
1738	всех основных	1	1
1739	на рубеже	2	1
1740	бытия и	1	1
1741	все еще	1	1
1742	ориентации человека	1	1
1743	право на	1	1
1744	определить как	2	1
1745	не отвечает	1	1
1746	каждый момент	1	1
1747	к работе	2	1
1748	к ценности	1	1
1749	здесь они	1	1
1750	и оно	1	1
1751	жанра как	1	1
1752	три года	1	1
1753	их отношении	1	1
1754	с соответствующими	1	1
1755	структура была	1	1
1756	существенная роль	2	1
1757	можно указать	1	1
1758	или напротив	3	1
1759	и второго	2	1
