N	2gram	Medvedev_V	formyVre
1296	для характеристики	1	1
1297	это в	1	1
1298	некоторых из	2	1
1299	все для	1	1
1300	бытия в	1	1
1301	носит в	2	1
1302	его воображение	1	1
1303	слова в	1	1
1304	некоторые черты	1	1
1305	своих произведений	1	1
1306	жизнью и	1	1
