N	2gram	Vinokur_Vv	slovoVRo
1303	какого-нибудь из	1	1
1304	бесспорного факта	1	1
1305	при известных	1	1
1306	дает ей	1	1
1307	но теперь	1	1
1308	с большой	1	1
1309	отдельными сторонами	1	1
1310	иным путем	1	1
1311	как их	1	1
1312	нельзя не	6	1
1313	внешний характер	1	1
1314	заставляет нас	1	1
1315	содержанием и	1	1
1316	им свой	1	1
1317	и собственно	2	1
1318	и своим	1	1
1319	и никогда	1	1
1320	литературное произведение	3	1
1321	момент своего	1	1
1322	или научной	2	1
1323	правда все	1	1
1324	но есть	1	1
1325	обычно считают	1	1
1326	только так	2	1
1327	этом и	1	1
1328	опирающееся на	2	1
1329	что может	3	1
1330	конца xviii	2	1
1331	особое отношение	1	1
1332	с чем	2	1
1333	в первой	1	1
1334	до наших	2	1
1335	предметом и	1	1
1336	ряде случаев	1	1
1337	в общем	14	1
1338	отвечать духу	1	1
1339	своей прямой	1	1
1340	иной раз	2	1
1341	зрения нет	1	1
1342	же мы	1	1
1343	его к	2	1
1344	языка совершенно	1	1
1345	все более	4	1
1346	и новые	1	1
1347	другие с	2	1
1348	или при	1	1
1349	и судьбами	1	1
1350	языка см	1	1
1351	а главное	1	1
1352	все возможные	1	1
1353	чтобы не	1	1
1354	именно это	1	1
1355	и совершенно	2	1
1356	само по	4	1
1357	его современников	1	1
1358	в который	2	1
1359	дело здесь	1	1
1360	с реальным	1	1
1361	на эту	1	1
1362	искусства в	1	1
1363	в каком	3	1
1364	требует также	1	1
1365	он действительно	1	1
1366	и ничего	1	1
1367	них прямо	1	1
1368	самой действительности	1	1
1369	можно только	2	1
