N	2gram	Bakhtin_sl	Literetu
1302	сказал в	1	1
1303	своим и	2	1
1304	от которого	1	1
1305	которых он	1	1
1306	или с	1	1
1307	развитии и	1	1
1308	сознания это	1	1
1309	его аудитории	1	1
1310	сознания по	1	1
1311	входя в	4	1
1312	для самих	1	1
1313	все это	14	1
1314	авторитарности так	1	1
1315	самой этой	1	1
1316	из форм	1	1
1317	это именно	1	1
1318	от авторитарного	1	1
1319	слова не	5	1
1320	собственного слова	1	1
1321	и политического	1	1
1322	в виде	4	1
1323	в таких	1	1
1324	затем и	1	1
1325	вся художественная	2	1
1326	материал для	1	1
1327	каковы бы	2	1
1328	пределах одной	3	1
1329	или в	10	1
1330	и единственного	6	1
1331	когда оно	1	1
1332	начала в	1	1
1333	сын и	1	1
1334	классические примеры	1	1
1335	но эта	2	1
1336	кругозора и	1	1
1337	жизни слова	8	1
1338	места в	1	1
1339	внешних и	1	1
1340	исходят из	1	1
1341	не те	1	1
1342	сознания но	1	1
1343	совсем иное	1	1
1344	в эстетический	1	1
1345	того еще	1	1
1346	вообще не	4	1
1347	в литературу	1	1
1348	чтобы быть	1	1
1349	авторскому замыслу	1	1
1350	сама по	2	1
1351	борьбы и	1	1
1352	в стороне	1	1
1353	случае не	2	1
1354	и единственным	2	1
1355	язык поэзии	2	1
1356	не предполагает	3	1
1357	или даже	5	1
1358	говорят о	1	1
1359	в литературный	1	1
1360	в переводе	1	1
1361	что неизбежно	1	1
1362	есть только	1	1
1363	смысловую глубину	1	1
1364	перейти к	1	1
1365	на одном	1	1
1366	в соединении	1	1
1367	на все	3	1
1368	не столь	2	1
1369	и со	2	1
1370	один и	1	1
1371	в новом	3	1
1372	только и	3	1
1373	нисколько не	3	1
1374	в условиях	3	1
1375	войти в	2	1
1376	образ такого	1	1
1377	это было	2	1
1378	от личности	1	1
1379	или индивидуального	1	1
1380	с другом	2	1
1381	его же	4	1
1382	произведение и	1	1
1383	или менее	5	1
1384	в одной	2	1
1385	не все	2	1
1386	в меру	1	1
1387	бы ни	3	1
1388	остается вне	4	1
1389	за этой	1	1
1390	ему не	2	1
1391	и внутренней	2	1
1392	активности и	2	1
1393	и свои	2	1
1394	вообще очень	1	1
1395	к одному	1	1
1396	за словами	2	1
1397	становится одним	1	1
1398	слова как	8	1
1399	адекватного подхода	1	1
1400	тем чем	3	1
1401	различными сторонами	1	1
1402	и снова	1	1
1403	и эти	2	1
1404	как ни	2	1
1405	противоречат друг	1	1
1406	не утратив	1	1
1407	по которому	1	1
1408	его тем	1	1
1409	на задний	1	1
1410	а просто	2	1
1411	в бытовой	3	1
1412	в самых	2	1
1413	с новыми	1	1
1414	соответствующего жанра	1	1
1415	обстоит дело	4	1
1416	его речь	1	1
1417	быть и	6	1
1418	и слова	6	1
1419	и вражды	1	1
1420	и их	6	1
1421	частности в	1	1
1422	и признается	1	1
1423	конечно в	2	1
1424	и своя	1	1
1425	как субъективное	1	1
1426	и времени	1	1
1427	лишь как	3	1
1428	ведь если	1	1
1429	на всю	3	1
1430	и всех	1	1
1431	с различными	6	1
1432	к ней	2	1
1433	по всей	3	1
1434	и вне	3	1
1435	данного произведения	1	1
1436	внутреннюю устремленность	1	1
1437	в плане	11	1
1438	литературное произведение	1	1
1439	данный исторический	1	1
1440	момент своего	1	1
1441	он знает	1	1
1442	к чужому	9	1
1443	далека от	1	1
1444	момент в	2	1
1445	сознания его	1	1
1446	к новому	3	1
1447	последний модус	1	1
1448	в создании	1	1
1449	и эта	2	1
1450	языка если	2	1
1451	этой силы	1	1
1452	мир он	1	1
1453	эти два	1	1
1454	мира с	1	1
1455	лучшем случае	3	1
1456	жанра но	2	1
1457	послужить эпиграфом	1	1
1458	по причине	1	1
1459	пути к	1	1
1460	жизнью и	1	1
1461	к литературным	1	1
1462	себе а	1	1
1463	языков но	1	1
