N	2gram	Savitsky_E	Istorich
1298	что может	1	1
1299	лежащие на	1	1
1300	с течением	2	1
1301	значение как	1	1
1302	культуры от	1	1
1303	к кругу	1	1
1304	речи о	1	1
1305	или иного	4	1
1306	прибавим от	1	1
1307	традиции как	1	1
1308	близко подходит	2	1
1309	китай и	1	1
1310	и ту	2	1
1311	во втором	2	1
1312	населения и	2	1
1313	такой момент	1	1
1314	то есть	6	1
1315	но за	1	1
1316	из более	1	1
1317	для себя	1	1
1318	в якутской	1	1
1319	это есть	1	1
1320	к области	1	1
1321	власти и	1	1
1322	стран и	1	1
1323	связанная с	1	1
1324	наряду со	1	1
1325	заключается в	2	1
1326	точнее и	1	1
1327	есть некоторая	1	1
1328	это сделали	1	1
1329	в крови	1	1
1330	оно всегда	1	1
1331	пределах этих	2	1
1332	дело идет	2	1
1333	к какой	1	1
1334	не является	3	1
1335	что путем	1	1
1336	как одно	1	1
1337	который не	1	1
1338	чем то	1	1
1339	в современном	1	1
1340	значением и	1	1
1341	можно думать	3	1
1342	народа и	1	1
1343	в известном	3	1
1344	тому или	2	1
1345	видим как	2	1
1346	характерной чертой	1	1
1347	же время	14	1
1348	никаких аналогий	2	1
1349	потому и	1	1
1350	известной степени	3	1
1351	к созданию	1	1
1352	случае из	1	1
1353	но именно	2	1
1354	не находятся	1	1
1355	встречает на	1	1
1356	который по	1	1
1357	них то	1	1
1358	этого же	1	1
1359	пришлось бы	1	1
1360	его можно	1	1
1361	доступ в	1	1
1362	что автор	1	1
1363	творчества оно	1	1
1364	неизменно оказывается	1	1
1365	одних и	1	1
1366	это изменение	1	1
1367	в угоду	1	1
1368	железа и	1	1
1369	с большей	1	1
1370	оно будет	1	1
1371	мира но	2	1
1372	этом отношении	3	1
1373	выше не	1	1
1374	из частей	1	1
1375	оказался без	1	1
1376	многих отношениях	1	1
1377	человеческую культуру	1	1
1378	следует отметить	2	1
1379	эти наблюдения	1	1
1380	цель и	1	1
1381	такой вопрос	1	1
1382	в третьем	1	1
1383	ясным в	1	1
1384	последнее время	1	1
1385	ее частей	1	1
1386	в новом	1	1
1387	существовала на	1	1
1388	выходит и	1	1
1389	войны и	2	1
1390	и народов	3	1
1391	не говоря	2	1
1392	же может	1	1
1393	ко всему	2	1
1394	том случае	1	1
1395	они действуют	1	1
1396	дойдя до	1	1
1397	только к	2	1
1398	области и	1	1
1399	а к	1	1
1400	простирается от	1	1
1401	мы же	1	1
1402	этом мире	1	1
1403	ведь и	2	1
1404	этот географический	1	1
1405	и детей	1	1
1406	менее на	1	1
1407	viii и	1	1
1408	имеет свое	1	1
1409	даже при	2	1
1410	лежат в	4	1
1411	можно поставить	1	1
1412	из русской	1	1
1413	и каждая	2	1
1414	сев америка	1	1
1415	от эпохи	1	1
1416	зрения есть	1	1
1417	так называемой	1	1
1418	которое в	2	1
1419	права и	1	1
1420	в чисто	1	1
1421	чем та	1	1
1422	тех или	1	1
1423	течением времени	2	1
1424	некоторые народы	1	1
1425	интересно отметить	1	1
1426	свою способность	1	1
