N	2gram	Berdyaev_M	VeschiIm
1316	и наконец	1	1
1317	него это	1	1
1318	и вопреки	1	1
1319	эту тему	1	1
1320	кажется что	1	1
1321	нет никаких	2	1
1322	и самый	2	1
1323	момент его	2	1
1324	себе а	1	1
1325	себя но	1	1
1326	меньше чем	1	1
