N	2gram	Medvedev_V	StatiiOP
1292	друг друга	1	1
1293	его авторской	1	1
1294	в самой	1	1
1295	стороны он	1	1
1296	жизни не	1	1
1297	что конечно	1	1
1298	собственно говоря	1	1
1299	формы как	1	1
1300	а об	1	1
1301	формы и	2	1
1302	работа по	1	1
1303	на время	2	1
1304	гете на	1	1
1305	качественно не	1	1
1306	в более	1	1
1307	таков первый	1	1
1308	с м	1	1
1309	на тех	1	1
1310	льва толстого	2	1
1311	эта не	2	1
1312	как основные	1	1
1313	до последних	1	1
1314	не будем	1	1
1315	с очень	1	1
1316	горя от	2	1
1317	и толстого	1	1
1318	хотя у	1	1
1319	окончательной редакции	1	1
1320	материал по	1	1
1321	требуется чтобы	1	1
1322	о трудностях	2	1
1323	о нем	1	1
1324	в специальных	1	1
1325	и наоборот	1	1
1326	со своим	3	1
1327	ином контексте	1	1
1328	легенды о	1	1
1329	на высоту	1	1
1330	воспоминания и	1	1
1331	пушкин ни	1	1
1332	слова не	2	1
1333	творчества он	1	1
1334	о другой	1	1
1335	сказал бы	1	1
1336	вдохновения и	2	1
1337	сказать не	1	1
1338	ее роли	1	1
1339	задач и	1	1
1340	очень существенно	1	1
1341	говорим о	1	1
1342	и очевидно	1	1
1343	не заметить	1	1
1344	реальной действительности	10	1
1345	от всех	1	1
1346	является таким	1	1
1347	причин и	1	1
1348	а о	2	1
1349	этого не	1	1
1350	в свои	1	1
1351	с ними	4	1
1352	гораздо проще	1	1
1353	что будет	1	1
1354	и которая	1	1
1355	содержании и	1	1
1356	ему самому	1	1
1357	в ту	1	1
1358	виду что	1	1
1359	е из	1	1
1360	вот это	2	1
1361	очень много	1	1
1362	стороны об	1	1
1363	понимать как	2	1
1364	слова на	1	1
1365	красной армии	1	1
1366	совершенно точно	1	1
1367	он работал	4	1
1368	и следовало	1	1
1369	мнение что	1	1
1370	фактов а	1	1
1371	рассказывает что	2	1
1372	и понимания	1	1
1373	перейти к	1	1
1374	на одном	1	1
1375	и напряженной	1	1
1376	не создает	1	1
1377	и художественного	3	1
1378	и смысл	1	1
1379	действительностью в	1	1
1380	дело и	1	1
1381	спустя три	1	1
1382	свой ответ	1	1
1383	поэтической деятельности	1	1
1384	некоторые авторы	2	1
1385	стороне этого	1	1
1386	за его	1	1
1387	мысли в	1	1
1388	иного вида	2	1
1389	можно утверждать	4	1
1390	связаны с	1	1
1391	чернового текста	1	1
1392	бы его	1	1
1393	на музыку	1	1
1394	внимания то	1	1
1395	несколько наиболее	1	1
1396	том случае	1	1
1397	этом у	1	1
1398	к их	1	1
1399	он это	1	1
1400	героев их	1	1
1401	почве этих	1	1
1402	прав когда	1	1
1403	же духе	1	1
1404	при посредстве	1	1
1405	например у	2	1
1406	или целиком	1	1
1407	это как	1	1
1408	за разработку	1	1
1409	с новыми	1	1
1410	очень близко	1	1
1411	ту или	1	1
1412	и образов	5	1
1413	однако если	1	1
1414	тому как	3	1
1415	здесь можно	1	1
1416	спорного и	1	1
1417	другой в	1	1
1418	этому и	1	1
1419	пока в	1	1
1420	эти утверждения	1	1
1421	своего творчества	3	1
1422	материалы и	1	1
1423	образа в	2	1
1424	не с	2	1
1425	есть и	1	1
1426	пор не	1	1
1427	его исторической	1	1
1428	или другого	1	1
1429	было еще	1	1
1430	не следует	8	1
1431	стороны и	2	1
1432	особый вид	1	1
1433	часто в	1	1
1434	только то	2	1
1435	и жизни	1	1
1436	или как	1	1
1437	по сравнению	1	1
1438	обычно считается	1	1
1439	и невозможно	1	1
1440	и характере	1	1
1441	этой схемы	1	1
1442	особым этапом	1	1
1443	сказал что	1	1
1444	и общих	1	1
1445	со своими	1	1
1446	не быть	2	1
1447	элементов в	1	1
1448	когда говорит	1	1
1449	наконец что	1	1
1450	в понимании	1	1
1451	литературное произведение	1	1
1452	февраля года	1	1
1453	для такого	1	1
1454	изобразить и	1	1
1455	в театре	1	1
1456	художественного произведения	6	1
1457	произведения не	2	1
1458	бы еще	2	1
1459	связи между	1	1
1460	анализа и	1	1
1461	тем особым	1	1
1462	см хотя	1	1
1463	эту мысль	1	1
1464	рассказе о	1	1
1465	же в	7	1
1466	как увидим	1	1
1467	отметим еще	1	1
1468	остается один	1	1
1469	их на	1	1
1470	только эти	1	1
1471	указано выше	1	1
1472	некоторых из	2	1
1473	он пытался	1	1
1474	положению вещей	1	1
1475	к работе	3	1
1476	которых каждая	1	1
1477	процессе работы	5	1
1478	конечно нельзя	1	1
1479	больше того	1	1
1480	материалом не	1	1
1481	а н	3	1
1482	можно указать	2	1
1483	своей сознательной	1	1
