N	2gram	Bakhtin_sl	Dialekti
1318	он к	1	1
1319	его моменты	1	1
1320	к себе	1	1
1321	время в	1	1
1322	сфере например	1	1
1323	состояние его	1	1
1324	логикой и	2	1
1325	не стремится	1	1
1326	прийти к	1	1
1327	ним в	1	1
1328	все новые	1	1
1329	него самого	1	1
1330	похоже на	1	1
1331	в недрах	1	1
1332	ничего что	1	1
1333	чем у	1	1
1334	неподвижна и	1	1
1335	и за	1	1
1336	и через	1	1
1337	к необходимости	1	1
1338	к еще	1	1
1339	они в	2	1
1340	это слово	1	1
1341	даже на	1	1
1342	сколько бы	1	1
1343	это очень	1	1
1344	и свободно	1	1
1345	что между	1	1
1346	символ не	1	1
1347	не была	3	1
1348	не получила	1	1
1349	быть до	2	1
1350	восприятием и	2	1
1351	человека правда	2	1
1352	и дней	1	1
1353	полное отсутствие	1	1
1354	борьбы с	3	1
1355	же тему	2	1
1356	может сказать	1	1
1357	всех его	9	1
1358	сущности только	1	1
1359	вносить в	1	1
1360	этого утверждения	1	1
1361	исходить от	1	1
1362	распространенный в	1	1
1363	образ может	3	1
1364	и непосредственная	1	1
1365	xviii века	3	1
1366	предмете и	1	1
1367	дано в	2	1
1368	смысле и	1	1
1369	и историческому	1	1
1370	с жизнью	1	1
1371	настоящим и	1	1
1372	лишь на	3	1
1373	без него	1	1
1374	же две	1	1
1375	твердое и	1	1
1376	сознание должно	1	1
1377	от поэтической	1	1
1378	всего он	1	1
1379	всем своем	1	1
1380	и такое	1	1
1381	одном из	1	1
1382	воплощен в	2	1
1383	всеми его	1	1
1384	смысловой и	1	1
1385	души в	1	1
1386	так сказать	11	1
1387	или иные	4	1
1388	необходимо иметь	1	1
1389	отличии от	1	1
1390	его формы	1	1
1391	слово оказалось	1	1
1392	из одного	2	1
1393	мировоззрения но	1	1
1394	в эту	3	1
1395	от второй	1	1
1396	на другом	1	1
1397	и отдельные	1	1
1398	от чисто	3	1
1399	оформления и	4	1
1400	с очень	1	1
1401	ни при	1	1
1402	и самая	3	1
1403	могли бы	2	1
1404	связь с	2	1
1405	меру своей	1	1
1406	выражение в	4	1
1407	лица и	1	1
1408	него есть	1	1
1409	возникает из	2	1
1410	не переходит	1	1
1411	и одной	1	1
1412	мир он	1	1
1413	в устах	1	1
1414	к слову	2	1
1415	они же	1	1
1416	оно конечно	1	1
1417	иногда же	1	1
1418	мысль и	1	1
1419	очень часто	1	1
1420	в наше	1	1
1421	или во	2	1
1422	для ее	1	1
1423	все остальные	1	1
1424	нашего сознания	2	1
1425	основных социальных	1	1
1426	ту же	5	1
1427	возникшее в	1	1
1428	на весь	1	1
1429	характерны для	1	1
1430	взглянуть на	1	1
1431	явления в	1	1
1432	понимать и	2	1
1433	языком и	6	1
1434	оно ничего	1	1
1435	бы они	1	1
1436	остаться в	1	1
1437	от которых	1	1
1438	них но	1	1
1439	полноты и	1	1
1440	свои а	1	1
1441	над другими	1	1
1442	никаких других	1	1
1443	тем и	3	1
1444	сознания есть	1	1
1445	приходится брать	1	1
1446	выражается в	1	1
1447	глубине и	1	1
1448	того же	7	1
1449	проникнуть в	1	1
1450	в историческом	2	1
1451	в нее	3	1
1452	отношения с	1	1
1453	и исторические	2	1
1454	в новое	4	1
1455	притом на	1	1
1456	в самой	1	1
1457	имеет свой	2	1
1458	и специфичность	1	1
1459	его так	3	1
1460	борьба в	1	1
1461	или меньшей	5	1
1462	есть предмет	1	1
1463	слова из	1	1
1464	мы называем	1	1
1465	и никогда	1	1
1466	и глубокое	2	1
1467	не входят	2	1
1468	притом как	1	1
1469	но прежде	1	1
1470	сам в	2	1
1471	всех сторон	1	1
1472	них не	2	1
1473	о других	1	1
1474	почти всех	1	1
1475	на логическую	1	1
1476	которая на	1	1
1477	от предмета	1	1
1478	смотрим на	1	1
1479	рассуждения и	1	1
1480	подходе к	1	1
1481	например о	1	1
1482	бы оно	1	1
1483	оно действительно	1	1
1484	если они	1	1
1485	и умирают	1	1
1486	документов и	1	1
1487	от единого	1	1
1488	от живой	1	1
1489	его к	1	1
1490	смысле на	2	1
1491	как точка	1	1
1492	говорить уже	1	1
1493	она построена	1	1
1494	речи о	1	1
1495	мировоззрений и	2	1
1496	мы до	1	1
1497	мы видели	3	1
1498	в единство	2	1
1499	по причине	1	1
1500	употребляет их	1	1
1501	и клеветы	1	1
1502	трудно сказать	1	1
1503	к такому	2	1
1504	целого никакое	1	1
1505	однако и	2	1
1506	интерпретация и	1	1
1507	и можем	1	1
1508	никак нельзя	1	1
1509	в состав	3	1
1510	и поэтическое	3	1
1511	облик и	2	1
1512	об очень	1	1
1513	в последнем	1	1
1514	только те	1	1
1515	в вопросах	1	1
1516	не подвергается	1	1
1517	и свою	1	1
1518	прислушаться к	1	1
1519	на анализе	1	1
1520	переходит в	3	1
1521	в специальном	1	1
1522	которые он	1	1
1523	в языке	7	1
1524	лежащий в	1	1
1525	отнести также	1	1
1526	ним и	2	1
1527	во власти	2	1
1528	так оно	1	1
1529	оно было	4	1
1530	но такая	1	1
1531	его содержание	1	1
1532	и дает	1	1
1533	уходит своими	2	1
1534	свободного и	1	1
1535	существенный признак	1	1
1536	говорит и	2	1
1537	от нас	2	1
1538	до некоторой	1	1
1539	этого второго	2	1
1540	привело к	1	1
1541	этого мало	1	1
1542	бы говорить	1	1
1543	должны иметь	1	1
1544	действует в	3	1
1545	два индивидуальных	1	1
1546	характер и	2	1
1547	в живых	1	1
1548	смыслу и	1	1
1549	видели что	1	1
1550	эта общая	1	1
1551	для них	2	1
1552	встретить такие	1	1
1553	все существенные	1	1
1554	и тот	1	1
1555	том и	2	1
1556	в плоскости	1	1
1557	там в	1	1
1558	самом предмете	3	1
1559	порядок и	1	1
1560	эти понятия	1	1
1561	новый смысл	1	1
1562	нового не	2	1
1563	нам в	1	1
1564	до этого	1	1
1565	и одновременно	2	1
1566	которые оно	1	1
1567	оно ни	1	1
1568	изображения в	3	1
1569	времени вне	1	1
1570	с таким	3	1
1571	понимать его	1	1
1572	его идеалов	1	1
1573	месте и	1	1
1574	весь свой	1	1
1575	характеризуется именно	1	1
1576	почти исключительно	1	1
1577	оно оказывается	1	1
1578	в романе	64	1
1579	и действительно	1	1
1580	тему и	1	1
1581	его интерпретация	1	1
1582	социального контекста	1	1
1583	друг о	2	1
1584	в одних	1	1
1585	и существенные	1	1
1586	эти явления	2	1
1587	таких которые	1	1
1588	может стать	3	1
1589	логических и	1	1
1590	фактически очень	1	1
1591	на эту	1	1
1592	которые при	1	1
1593	мифа над	1	1
1594	этим в	1	1
1595	воспринимаются как	1	1
1596	влияния на	3	1
1597	принадлежит именно	1	1
1598	правда не	3	1
1599	самостоятельность и	1	1
1600	становлении нет	1	1
1601	приводит к	2	1
1602	нее свои	1	1
1603	него предмет	1	1
1604	них он	1	1
1605	при всех	2	1
1606	ее смысла	1	1
1607	из которого	2	1
1608	далек от	1	1
1609	данном языке	3	1
1610	в известном	2	1
1611	быть конечно	1	1
1612	художественном образе	2	1
1613	категорий и	1	1
1614	здесь нет	1	1
1615	поняты и	1	1
1616	значение приобретает	2	1
1617	не входит	1	1
1618	лишь те	1	1
1619	неодушевленных и	1	1
1620	свое время	1	1
1621	в рассмотрение	1	1
1622	частей и	1	1
1623	входящее в	1	1
1624	слова для	2	1
1625	речь в	2	1
1626	художественный образ	3	1
1627	первом случае	2	1
1628	смыслом и	1	1
1629	те которые	1	1
1630	становлению и	1	1
1631	виду не	1	1
1632	близости к	1	1
1633	характер его	1	1
1634	далее и	1	1
1635	и частично	1	1
1636	и грубых	1	1
1637	какой мере	1	1
1638	совершенно иной	1	1
1639	категорий но	1	1
1640	все меньше	1	1
1641	этого общего	2	1
1642	оба эти	1	1
1643	задний план	1	1
1644	может ограничиться	1	1
1645	он еще	1	1
1646	изображения и	2	1
1647	один только	1	1
1648	значение этого	1	1
1649	они вообще	1	1
1650	можно лишь	1	1
1651	и воля	2	1
1652	не должны	3	1
1653	к прямому	1	1
1654	те или	4	1
1655	его нельзя	1	1
1656	и лишь	1	1
1657	основе ее	2	1
1658	не могло	3	1
1659	к своим	1	1
1660	вступает в	2	1
1661	только трех	1	1
1662	как носители	1	1
1663	объединения и	4	1
1664	от других	2	1
1665	эпохи но	1	1
1666	обращения с	1	1
1667	рано или	2	1
1668	уже говорили	1	1
1669	тот факт	1	1
1670	цели и	1	1
1671	себя от	2	1
1672	отрешен от	1	1
1673	при анализе	1	1
1674	каждый из	1	1
1675	сразу в	1	1
1676	например на	1	1
1677	конструкции и	2	1
1678	можно вспомнить	1	1
1679	как будет	1	1
1680	формами и	1	1
1681	как свой	1	1
1682	о способах	1	1
1683	обладает совершенно	1	1
1684	их значение	1	1
1685	типах и	1	1
1686	и там	6	1
1687	в отличие	12	1
1688	введением в	1	1
1689	своими корнями	2	1
1690	он в	6	1
1691	в споре	1	1
1692	всего своего	1	1
1693	которых он	1	1
1694	и методы	1	1
1695	лишь о	1	1
1696	быть вещью	1	1
1697	предмета в	2	1
1698	до конца	25	1
1699	за пределами	3	1
1700	слова он	1	1
1701	судьбы и	2	1
1702	в каждый	5	1
1703	в понимании	3	1
1704	и историческое	1	1
1705	том же	4	1
1706	в чужую	2	1
1707	к миру	1	1
1708	такие которые	1	1
1709	времени почти	1	1
1710	из пределов	1	1
1711	до известной	3	1
1712	в свой	3	1
1713	от этого-то	1	1
1714	этот единый	1	1
1715	своему пределу	1	1
1716	или поздно	2	1
1717	не из	2	1
1718	в едином	2	1
1719	спокойного и	1	1
1720	слоев и	2	1
1721	к окружающему	1	1
1722	с каким	2	1
1723	в самих	1	1
1724	ибо нет	1	1
1725	и чистой	2	1
1726	нельзя говорить	1	1
1727	не соответствует	1	1
1728	же за	1	1
1729	своим предметом	3	1
1730	сознание может	1	1
1731	этом случае	4	1
1732	оно дано	1	1
1733	проникает в	1	1
1734	попадает в	1	1
1735	объеме и	1	1
1736	в предмете	8	1
1737	эта характеристика	1	1
1738	вокруг него	4	1
1739	значение в	2	1
1740	напряженном и	1	1
1741	гораздо сложнее	1	1
1742	этом и	1	1
1743	сам он	1	1
1744	действительности в	1	1
1745	в последней	1	1
1746	о значении	1	1
1747	однако как	1	1
1748	в художественной	1	1
1749	в указанном	1	1
1750	в окружающем	1	1
1751	лиц и	1	1
1752	такая подмена	1	1
1753	эпохи в	1	1
1754	что может	1	1
1755	как существенное	1	1
1756	овладения и	1	1
1757	быть отнесены	1	1
1758	спор и	1	1
1759	для всего	2	1
1760	и общей	1	1
1761	переход к	1	1
1762	что совершенно	1	1
1763	что так	1	1
1764	в литературе	1	1
1765	отсюда следует	1	1
1766	от времени	1	1
1767	конца ни	2	1
1768	им слов	1	1
1769	то прежде	1	1
1770	а предмет	1	1
1771	относительно и	1	1
1772	из своих	2	1
1773	эти голоса	1	1
1774	понимания этого	1	1
1775	одному и	2	1
1776	теперь эта	1	1
1777	это именно	1	1
1778	в ином	1	1
1779	а на	3	1
1780	этого сознания	1	1
1781	оно только	1	1
1782	и непосредственно	6	1
1783	бы для	1	1
1784	столь же	2	1
1785	иногда и	1	1
1786	пределах одной	3	1
1787	из форм	1	1
1788	в свои	1	1
1789	слова которые	1	1
1790	слились в	1	1
1791	а также	5	1
1792	выведена из	1	1
1793	слова но	2	1
1794	онегин у	1	1
1795	сплетены в	1	1
1796	места в	1	1
1797	и темное	2	1
1798	менее всего	3	1
1799	этих произведений	1	1
1800	не те	1	1
1801	слова слово	1	1
1802	которой живет	1	1
1803	на социальное	1	1
1804	на тему	1	1
1805	наконец даже	2	1
1806	кто именно	1	1
1807	в стороне	1	1
1808	он видит	1	1
1809	к новому	3	1
1810	среди всех	1	1
1811	мира он	1	1
1812	им и	1	1
1813	и силу	1	1
1814	но по	2	1
1815	или даже	5	1
1816	возможно и	3	1
1817	резко и	1	1
1818	и единственный	5	1
1819	которые являются	2	1
1820	на фоне	11	1
1821	зрения не	3	1
1822	не столь	2	1
1823	и могут	1	1
1824	действующий и	1	1
1825	один и	1	1
1826	утверждения что	1	1
1827	относятся к	1	1
1828	и художественного	1	1
1829	как между	1	1
1830	конечно эта	1	1
1831	такое значение	1	1
1832	все категории	2	1
1833	положение чтобы	2	1
1834	и определенный	1	1
1835	и таким	1	1
1836	научных и	1	1
1837	не все	2	1
1838	мы к	1	1
1839	что часто	1	1
1840	другом случае	3	1
1841	оно может	3	1
1842	резкая грань	1	1
1843	в иные	3	1
1844	часто очень	1	1
1845	но этим	1	1
1846	к одному	1	1
1847	нее нет	1	1
1848	поскольку она	1	1
1849	на которые	3	1
1850	евгений онегин	1	1
1851	мир с	1	1
1852	у лермонтова	1	1
1853	со всех	1	1
1854	его всегда	2	1
1855	его слово	17	1
1856	оно в	1	1
1857	на задний	1	1
1858	предмету но	1	1
1859	а его	2	1
1860	предмете а	1	1
1861	например у	3	1
1862	своем историческом	1	1
1863	философской и	1	1
1864	могут служить	1	1
1865	пределы и	1	1
1866	может идти	1	1
1867	и выразительных	1	1
1868	оно станет	1	1
1869	есть чисто	1	1
1870	и относительном	1	1
1871	здесь только	1	1
1872	каждом моменте	3	1
1873	не изучены	1	1
1874	что всякий	1	1
1875	язык и	17	1
1876	примеры из	1	1
1877	это сознание	2	1
1878	философского и	1	1
1879	и простую	1	1
1880	живет и	2	1
1881	бесконечным разнообразием	1	1
1882	этих сфер	1	1
1883	свою жизнь	1	1
1884	говорят в	1	1
1885	суть формы	1	1
1886	не уменьшается	1	1
1887	слова не	5	1
1888	на границе	1	1
1889	конечно в	2	1
1890	противопоставления себя	1	1
1891	в пределах	27	1
1892	и возникает	1	1
1893	как явление	1	1
1894	сознания для	2	1
1895	поэтому для	1	1
1896	конечно нет	1	1
1897	к которой	1	1
1898	ведь если	1	1
1899	не касается	1	1
1900	смысл его	2	1
1901	в самостоятельный	2	1
1902	за ними	1	1
1903	показывает как	1	1
1904	быть также	2	1
1905	сопоставление и	1	1
1906	и несводимо	1	1
1907	на образ	4	1
1908	явление в	2	1
1909	по всей	3	1
1910	находиться в	1	1
1911	и борьба	2	1
1912	как систему	1	1
1913	есть необходимый	1	1
1914	его внешней	1	1
1915	основной объект	1	1
1916	и свои	2	1
1917	в эстетической	1	1
1918	плоскость в	1	1
1919	характерна эта	1	1
1920	лишь его	1	1
1921	явление социальное	1	1
1922	конечно совершенно	1	1
1923	сознания его	1	1
1924	его форму	1	1
1925	к раскрытию	3	1
1926	как часто	1	1
1927	этот особый	1	1
1928	главное все	1	1
1929	здесь обязательно	1	1
1930	в другую	1	1
1931	нужно отнести	1	1
1932	образом речь	1	1
1933	систем и	1	1
1934	включает в	3	1
1935	себе самому	1	1
1936	себя окружающему	1	1
1937	в создании	1	1
1938	тот предмет	1	1
1939	очень трудно	2	1
1940	известной степени	6	1
1941	все более	1	1
1942	на всем	1	1
1943	ее категории	1	1
1944	д если	1	1
1945	в эти	1	1
1946	сознания нет	1	1
1947	человек не	1	1
1948	если на	1	1
1949	то все	1	1
1950	он действительно	1	1
1951	все возможные	1	1
1952	и обратно	1	1
1953	иногда даже	2	1
1954	которой мы	1	1
1955	основе их	2	1
1956	и себе	1	1
1957	жизнью и	1	1
1958	в руках	1	1
1959	из уст	1	1
