N	2gram	Bakhtin_fo	RusskieA
1314	другом месте	2	1
1315	идеологии и	1	1
1316	и носит	2	1
1317	к концу	3	1
1318	на голове	1	1
1319	вступит в	1	1
1320	и людей	2	1
1321	из дому	1	1
1322	эти требования	1	1
1323	и выходит	1	1
1324	не оставляют	1	1
1325	и оно	1	1
1326	это было	2	1
1327	пока не	1	1
1328	в каждой	1	1
1329	были созданы	2	1
1330	и самой	1	1
1331	этих элементов	1	1
1332	а так	1	1
1333	как все	1	1
1334	и основные	1	1
1335	ко мне	1	1
1336	без всякой	1	1
1337	все от	1	1
1338	сказать только	1	1
1339	буквальном смысле	2	1
1340	выходит оттуда	1	1
1341	характер этой	1	1
1342	природа в	1	1
1343	все другие	2	1
1344	или косвенно	1	1
1345	указывали на	1	1
1346	каждая из	1	1
1347	возвращается к	1	1
1348	же от	1	1
1349	ему нужно	1	1
1350	на один	2	1
1351	которую мы	1	1
1352	например у	4	1
1353	составные элементы	1	1
1354	это как	1	1
1355	имен и	1	1
1356	не дошел	1	1
1357	непосредственно после	1	1
1358	ни один	2	1
1359	земле в	1	1
1360	и ни	1	1
1361	была сделана	3	1
1362	также и	6	1
1363	одну из	2	1
1364	на шее	1	1
1365	не по	1	1
1366	специалистов по	1	1
1367	плачут и	1	1
1368	с совершенно	1	1
1369	этом разнообразии	1	1
1370	из древнейших	1	1
1371	есть как	1	1
1372	эти формы	2	1
1373	здесь это	3	1
1374	входили в	2	1
1375	и может	2	1
1376	мы сосредоточим	1	1
1377	характерно для	2	1
1378	особый тип	1	1
1379	же что	3	1
1380	прерывается и	2	1
1381	широко применялась	1	1
1382	говоря о	1	1
1383	и обратно	1	1
1384	но дело	2	1
1385	не следует	1	1
1386	например и	1	1
1387	стороны и	2	1
1388	особенности же	1	1
1389	пр и	1	1
1390	человека с	1	1
1391	хотя она	1	1
1392	или как	5	1
1393	при всем	1	1
1394	быту и	1	1
1395	жизни это	2	1
1396	же представление	1	1
1397	рассматривать как	1	1
1398	люди не	1	1
1399	и время	2	1
1400	здесь соответствует	1	1
1401	также с	1	1
1402	приходят в	1	1
1403	же самое	2	1
1404	ответить что	1	1
1405	со своими	1	1
1406	оно сохраняет	1	1
1407	и настоящих	1	1
1408	содержанием и	1	1
1409	них нет	1	1
1410	и много	1	1
1411	имеет к	1	1
1412	еде и	1	1
1413	этих форм	5	1
1414	жизни и	12	1
1415	были совершенно	1	1
1416	дается описание	2	1
1417	они наделены	1	1
1418	и сущность	1	1
1419	нуждается в	1	1
1420	образ его	1	1
1421	надо было	1	1
1422	все для	1	1
1423	в так	1	1
1424	широко распространены	1	1
1425	после смерти	1	1
1426	и совершенно	3	1
1427	день после	1	1
1428	в римских	1	1
1429	типичен для	1	1
1430	нас это	2	1
1431	есть не	4	1
1432	и иные	2	1
