N	2gram	Vinokur_Ku	Tvorches
1308	а лишь	1	1
1309	например на	1	1
1310	состоит в	4	1
1311	потому и	1	1
1312	не встречается	1	1
1313	образом не	1	1
1314	жизни по	1	1
1315	имеем в	1	1
1316	на которые	1	1
1317	и а	2	1
1318	мне не	2	1
1319	претендовать на	1	1
1320	времени его	1	1
1321	с так	1	1
1322	в моей	1	1
1323	заметить что	1	1
1324	ее не	1	1
1325	невозможна в	1	1
1326	если мы	5	1
1327	при котором	1	1
1328	ничего кроме	1	1
1329	на первый	1	1
1330	правды и	1	1
1331	гораздо больше	1	1
1332	в сознании	1	1
1333	пушкина на	1	1
1334	л толстой	1	1
1335	который по	2	1
1336	образец такого	1	1
1337	мне как-то	1	1
1338	этого слова	8	1
1339	и современной	1	1
1340	были особенно	1	1
1341	будь то	1	1
1342	не имел	1	1
1343	готовые и	1	1
1344	к компромиссу	1	1
1345	какие бы	1	1
1346	того факта	1	1
1347	речи с	2	1
1348	только потому	13	1
1349	и для	3	1
1350	в память	3	1
1351	никто иной	1	1
1352	то или	3	1
1353	в самой	6	1
1354	в настоящее	2	1
1355	движения и	1	1
1356	но нас	1	1
1357	с того	1	1
1358	которому он	1	1
1359	на поверхность	1	1
1360	в сочетании	1	1
1361	что автор	1	1
1362	века от	1	1
1363	этом случае	4	1
1364	тогда в	2	1
1365	находятся в	1	1
1366	в более	2	1
1367	пусть даже	1	1
1368	большие основания	1	1
1369	ничем не	1	1
1370	смысле что	2	1
1371	добрым это	1	1
1372	ниже не	1	1
1373	они не	4	1
1374	любой из	1	1
1375	гоголю и	1	1
1376	и было	3	1
1377	с гораздо	2	1
1378	в поэзии	1	1
1379	того как	6	1
1380	к формам	3	1
1381	и уж	1	1
1382	в последней	1	1
1383	в первый	2	1
1384	о значении	2	1
1385	этот и	1	1
1386	наших глазах	1	1
1387	и раз	1	1
1388	мы имеем	11	1
1389	от которого	1	1
1390	этого определения	1	1
1391	он называет	1	1
1392	а это	5	1
1393	без особой	1	1
1394	в основании	2	1
1395	себя самого	2	1
1396	что так	3	1
1397	кому не	1	1
1398	которого я	1	1
1399	совершенно не	4	1
1400	день и	1	1
1401	для нас	6	1
1402	даже целые	1	1
1403	что собственно	1	1
1404	не содержит	1	1
1405	то мы	4	1
1406	о красивом	1	1
1407	бытие и	1	1
1408	вспомним как	1	1
1409	чем он	1	1
1410	а все	2	1
1411	вовсе нет	1	1
1412	все равно	4	1
1413	с утверждением	1	1
1414	в серьезных	1	1
1415	сказал бы	1	1
1416	не замечаем	1	1
1417	однако не	9	1
1418	за которой	1	1
1419	нужна была	2	1
1420	а на	3	1
1421	и журнальная	1	1
1422	борьбу с	1	1
1423	добавить что	2	1
1424	материал для	1	1
1425	мне удалось	1	1
1426	со всем	1	1
1427	сюжета а	1	1
1428	жизни это	1	1
1429	а также	3	1
1430	то к	1	1
1431	к которым	1	1
1432	что ничего	3	1
1433	о характере	2	1
1434	печати и	2	1
1435	объекта и	1	1
1436	такую фразу	1	1
1437	всегда есть	1	1
1438	менее всего	1	1
1439	на понимание	1	1
1440	он видел	1	1
1441	здесь даже	1	1
1442	что однако	1	1
1443	вообще не	2	1
1444	положение в	1	1
1445	ведь он	1	1
1446	с той	2	1
1447	в какой	7	1
1448	не подлежит	1	1
1449	этой цели	2	1
1450	так часто	1	1
1451	и вовсе	7	1
1452	есть в	6	1
1453	является не	1	1
1454	бы нам	1	1
1455	характера не	1	1
1456	экономии и	1	1
1457	далеко еще	1	1
1458	на фоне	3	1
1459	ввел в	1	1
1460	по своему	1	1
1461	и несравненно	1	1
1462	со своей	1	1
1463	это было	2	1
1464	лежит в	1	1
1465	более широкое	2	1
1466	а так	1	1
1467	тем более	2	1
1468	романтизма и	1	1
1469	но конечно	1	1
1470	войны и	1	1
1471	с первого	2	1
1472	другом случае	1	1
1473	дневника писателя	1	1
1474	как формы	1	1
1475	смысле то	1	1
1476	предположить что	2	1
1477	в г	3	1
1478	того или	6	1
1479	и эти	3	1
1480	что от	1	1
1481	только к	2	1
1482	стоило бы	1	1
1483	наука о	3	1
1484	не укладывается	1	1
1485	он понимал	1	1
1486	в предисловии	1	1
1487	ему нужно	3	1
1488	одного лица	1	1
1489	это у	1	1
1490	а его	1	1
1491	каждом из	2	1
1492	этой трагедии	1	1
1493	души по	1	1
1494	должно быть	6	1
1495	он принадлежит	1	1
1496	так называемой	2	1
1497	его не	1	1
1498	на дело	1	1
1499	а из	1	1
1500	говорим о	3	1
1501	что нужно	2	1
1502	это для	1	1
1503	еще одну	1	1
1504	на периферии	1	1
1505	за три	1	1
1506	так хорошо	1	1
1507	характерный для	1	1
1508	мы должны	2	1
1509	своей книге	1	1
1510	читателя на	1	1
1511	свою жизнь	1	1
1512	есть и	1	1
1513	в поэме	1	1
1514	же что	1	1
1515	таков смысл	1	1
1516	не исчезнет	1	1
1517	конечно в	1	1
1518	только у	1	1
1519	когда оно	2	1
1520	или его	1	1
1521	это если	1	1
1522	но дело	2	1
1523	к чему	1	1
1524	в пределах	8	1
1525	как источник	1	1
1526	это приглашение	1	1
1527	думать что	1	1
1528	при всем	1	1
1529	в большинстве	3	1
1530	и всякая	1	1
1531	признать что	1	1
1532	письмо от	1	1
1533	и часто	1	1
1534	всегда на	1	1
1535	на это	3	1
1536	в рамках	5	1
1537	этом на	1	1
1538	разве не	2	1
1539	частный случай	1	1
1540	а самый	1	1
1541	явление в	1	1
1542	понимании это	1	1
1543	это явно	1	1
1544	выразилось в	1	1
1545	же порядка	1	1
1546	не надо	4	1
1547	одно только	1	1
1548	которые в	2	1
1549	в театре	1	1
1550	историческое содержание	2	1
1551	это можно	1	1
1552	связи между	1	1
1553	литературе не	1	1
1554	г время	1	1
1555	в зубах	1	1
1556	оправдания в	1	1
1557	под пером	1	1
1558	пор еще	1	1
1559	не поднялась	1	1
1560	или иной	3	1
1561	ряде случаев	2	1
1562	для своих	1	1
1563	язык в	7	1
1564	с головой	1	1
1565	на ту	3	1
1566	в период	1	1
1567	на то	6	1
1568	по законам	1	1
1569	не рождается	1	1
1570	себе всю	1	1
1571	мы видели	3	1
1572	в эти	1	1
1573	является ли	2	1
1574	стиля но	2	1
1575	внимание читателя	1	1
1576	слишком уж	1	1
1577	для этого	6	1
1578	противоречии с	2	1
1579	в каком-то	1	1
1580	устной речи	2	1
1581	будет потому	1	1
1582	именно это	2	1
1583	этом что	1	1
1584	чего я	1	1
1585	выводов из	2	1
1586	иное как	3	1
1587	книга по	1	1
1588	из своих	1	1
1589	вопросом а	1	1
1590	столько к	1	1
