N	2gram	Savitsky_E	FransuaR
1300	к обычному	1	1
1301	исходит из	1	1
1302	самые основные	1	1
1303	из речей	1	1
1304	некоторую часть	1	1
1305	идут в	1	1
1306	же выводу	1	1
1307	приступить к	1	1
1308	месяцев и	1	1
1309	действительно ли	1	1
1310	до эпохи	1	1
1311	здесь нужно	1	1
1312	обстояло дело	1	1
1313	аналогии с	1	1
1314	это изменение	1	1
1315	то станет	1	1
1316	но был	1	1
1317	многих отношениях	1	1
1318	на будущее	1	1
1319	целей человеческого	1	1
1320	это мы	1	1
1321	или хотя	2	1
1322	нельзя конечно	1	1
1323	может в	1	1
1324	и моря	1	1
1325	себе не	3	1
1326	земного шара	9	1
1327	себя как	1	1
1328	мы стремились	1	1
1329	iv в	1	1
1330	же касается	1	1
1331	были расположены	1	1
1332	если ему	1	1
1333	интересно сопоставить	1	1
1334	совершенно прав	2	1
1335	способен ни	1	1
1336	такое предположение	2	1
1337	с определением	1	1
1338	более слабой	1	1
1339	имеют дело	1	1
1340	современности но	1	1
1341	подходят к	1	1
1342	полное свое	1	1
1343	было только	1	1
1344	культур и	3	1
1345	ii с	1	1
1346	вспомним что	1	1
1347	идеологической жизни	1	1
1348	это может	1	1
1349	дать ей	1	1
1350	с большой	2	1
1351	их к	1	1
1352	могут стать	2	1
1353	находятся на	1	1
1354	не значит	1	1
1355	с которым	1	1
1356	столь же	5	1
1357	и направляет	1	1
1358	ней в	1	1
1359	культуры от	1	1
1360	речи о	1	1
1361	или иного	4	1
1362	каждого из	1	1
1363	которых нет	1	1
1364	время совершенно	1	1
1365	человечества но	1	1
1366	и культур	1	1
1367	в оценке	1	1
1368	усиливается тем	1	1
1369	как таковой	1	1
1370	этих сфер	1	1
1371	с и	10	1
1372	во власти	2	1
1373	для себя	1	1
1374	истории в	1	1
1375	бы они	1	1
1376	на берегах	1	1
1377	именно об	1	1
1378	европы как	1	1
1379	сферу в	1	1
1380	на историческую	1	1
1381	в россии	5	1
1382	для каждого	1	1
1383	не выходит	1	1
1384	кажется не	1	1
1385	стихии с	1	1
1386	мощи и	1	1
1387	которые при	1	1
1388	как не	2	1
1389	как нам	5	1
1390	этих областей	5	1
1391	в аспекте	1	1
1392	русской истории	1	1
1393	примыкающих к	2	1
1394	только одно	2	1
1395	и некоторого	1	1
1396	страны и	3	1
1397	существовать в	1	1
1398	бы с	1	1
1399	но начало	1	1
1400	народы и	1	1
1401	то и	1	1
1402	стало возможным	1	1
1403	если можно	1	1
1404	этом явлении	1	1
1405	значением и	1	1
1406	в рамках	1	1
1407	находящихся в	1	1
1408	культурной и	1	1
1409	истины за	1	1
1410	мы хотим	1	1
1411	рано или	2	1
1412	тому или	2	1
1413	открыт для	1	1
1414	мало как	2	1
1415	с западной	1	1
1416	потому и	1	1
1417	нужно заметить	2	1
1418	естественных границ	1	1
1419	то она	1	1
1420	является весьма	1	1
1421	в сознании	1	1
1422	маска и	1	1
1423	англии в	1	1
1424	самом процессе	1	1
1425	стремились показать	1	1
1426	этого же	1	1
1427	есть к	1	1
1428	выраженному в	1	1
1429	или поздно	2	1
1430	не переходит	1	1
1431	только наиболее	1	1
1432	пришлось бы	1	1
1433	его можно	1	1
1434	чуть ли	1	1
1435	что автор	1	1
1436	может найти	1	1
1437	в гораздо	2	1
1438	с но	1	1
1439	представленная в	1	1
1440	в распоряжение	1	1
1441	обратиться к	1	1
1442	большем или	1	1
1443	в областях	7	1
1444	в полном	1	1
1445	с той	1	1
1446	к определенному	1	1
1447	ценность в	2	1
1448	развития могут	1	1
1449	ту ни	1	1
1450	этих стран	1	1
1451	отказаться от	1	1
1452	в западной	1	1
1453	а к	1	1
1454	и значительно	1	1
1455	xviii и	2	1
1456	гораздо большей	1	1
1457	о характере	1	1
1458	бытия и	1	1
1459	сущности которая	1	1
1460	отдельных областей	1	1
1461	когда такое	1	1
1462	завершения в	1	1
1463	мира носителем	1	1
1464	цель и	1	1
1465	случаях когда	2	1
1466	огромного большинства	1	1
1467	последнее время	1	1
1468	ли не	1	1
1469	не относится	1	1
1470	войти в	1	1
1471	стороне от	1	1
1472	всех стран	1	1
1473	культуры он	1	1
1474	может относиться	2	1
1475	речи эти	1	1
1476	составляет часть	1	1
1477	чтобы войти	1	1
1478	том случае	1	1
1479	этот новый	1	1
1480	роли и	1	1
1481	плоть от	1	1
1482	смысле становится	1	1
1483	этом мире	1	1
1484	вышедшей в	1	1
1485	обстоит дело	3	1
1486	в отношениях	1	1
1487	и приближаются	1	1
1488	viii и	1	1
1489	частности в	2	1
1490	отношений между	2	1
1491	но необходимо	1	1
1492	имеет свое	1	1
1493	свою самостоятельность	1	1
1494	если взять	1	1
1495	ими с	1	1
1496	и можно	2	1
1497	ли этот	1	1
1498	как их	2	1
1499	элементов в	1	1
1500	само по	4	1
1501	из русской	1	1
1502	и каждая	2	1
1503	та или	1	1
1504	нужно признать	1	1
1505	кровь от	1	1
1506	имеют в	1	1
1507	италии в	1	1
1508	лучшем случае	1	1
1509	своих произведений	1	1
1510	за их	1	1
1511	по нашему	3	1
1512	части этого	1	1
1513	ними но	1	1
