N	2gram	Potebnia_M	VeschiIm
1313	находиться в	3	1
1314	тогда и	3	1
1315	проявляется в	2	1
1316	то для	2	1
1317	на одно	1	1
1318	формы этого	1	1
1319	из моментов	1	1
1320	неизмеримо более	1	1
1321	него самого	3	1
1322	религия в	1	1
1323	и восприятия	1	1
1324	и почему	2	1
1325	к очень	1	1
1326	что так	1	1
1327	души и	2	1
1328	такое же	5	1
1329	о нем	1	1
1330	что с	2	1
1331	мало того	1	1
1332	нами как	1	1
1333	будет относиться	1	1
1334	все и	1	1
1335	ее в	2	1
1336	есть полное	1	1
1337	них или	1	1
1338	что собственно	2	1
1339	указание на	2	1
1340	тождественна с	1	1
1341	на самом	4	1
1342	что каждый	1	1
1343	именно то	2	1
1344	слова что	1	1
1345	только сказать	1	1
1346	чем он	1	1
1347	стремится к	3	1
1348	в течение	2	1
1349	возможно только	6	1
1350	смысле этого	9	1
1351	нам и	1	1
1352	с их	1	1
1353	себе никаких	1	1
1354	только звук	2	1
1355	не переходя	1	1
1356	природу и	1	1
1357	по этому	2	1
1358	слова есть	3	1
1359	само есть	1	1
1360	и смысл	1	1
1361	тому же	1	1
1362	ли можно	1	1
1363	и восприятие	1	1
1364	чем в	2	1
1365	а еще	1	1
1366	понимания но	1	1
1367	области и	1	1
1368	совершенно верно	1	1
1369	без всяких	1	1
1370	из мысли	2	1
1371	человеческой природы	2	1
1372	указывать на	2	1
1373	поэтому понимание	1	1
1374	отказаться от	2	1
1375	и внимание	1	1
1376	нею без	1	1
1377	и отношения	1	1
1378	что к	2	1
1379	но никак	2	1
1380	жизнью или	1	1
1381	как по	1	1
1382	прежде чем	2	1
1383	никакой нужды	1	1
1384	отвлеченный ее	1	1
1385	в общем	1	1
1386	сознания не	1	1
1387	только понятие	1	1
1388	и разума	1	1
1389	не иметь	1	1
1390	полное право	1	1
1391	тот кто	1	1
1392	и которая	1	1
1393	было для	3	1
1394	которое в	2	1
1395	здесь все	1	1
1396	и тому	1	1
1397	это третье	1	1
1398	как его	1	1
1399	в ту	2	1
1400	это сравнение	4	1
1401	уже совершенно	1	1
1402	не те	1	1
1403	сознания но	1	1
1404	стол есть	1	1
1405	из своих	1	1
1406	в таком	6	1
1407	присоединить к	2	1
1408	сходство с	1	1
1409	какого не	1	1
1410	это слово	6	1
1411	между этими	1	1
1412	сказать чтобы	1	1
1413	происходит и	1	1
1414	не остается	1	1
1415	в стороне	1	1
1416	на другую	1	1
1417	тело которое	1	1
1418	сфере и	1	1
1419	в какой	3	1
1420	большею частью	2	1
1421	сводится на	1	1
1422	ряду других	3	1
1423	стремится и	1	1
1424	без него	3	1
1425	чего оно	1	1
1426	эти три	1	1
1427	и иметь	1	1
1428	найти такой	1	1
1429	по одному	1	1
1430	мере и	1	1
1431	если и	2	1
1432	может только	1	1
1433	из чего	1	1
1434	есть говорили	1	1
1435	своей и	1	1
1436	соответственно тому	1	1
1437	и вместе	6	1
1438	основано на	1	1
1439	словом так	1	1
1440	не соответствующую	1	1
1441	в этих	2	1
1442	образ или	3	1
1443	силу этого	1	1
1444	этого слова	14	1
1445	в ряду	7	1
1446	на одном	2	1
1447	форму своего	1	1
1448	словом как	2	1
1449	понять ни	1	1
1450	должно стать	1	1
1451	то явление	1	1
1452	не могут	7	1
1453	должно было	2	1
1454	по его	1	1
1455	можем потому	1	1
1456	в новом	2	1
1457	провести резкую	1	1
1458	и суждения	1	1
1459	бы мы	2	1
1460	в двух	1	1
1461	предмета но	2	1
1462	с как	1	1
1463	ее явления	1	1
1464	к мысли	4	1
1465	что слово	13	1
1466	достигает своего	1	1
1467	их имена	1	1
1468	b то	1	1
1469	ни понять	1	1
1470	то можно	1	1
1471	бы совершенно	1	1
1472	полагает что	1	1
1473	как именно	1	1
1474	могло бы	2	1
1475	что как	4	1
1476	в других	3	1
1477	другой но	1	1
1478	понимания самого	1	1
1479	которая есть	1	1
1480	история человечества	1	1
1481	но конечно	1	1
1482	нас есть	1	1
1483	и бессознательно	1	1
1484	и по	5	1
1485	словом или	1	1
1486	что хотя	8	1
1487	уже сказали	1	1
1488	и большая	1	1
1489	на которую	2	1
1490	сказать и	2	1
1491	и звук	2	1
1492	может значить	1	1
1493	такого же	1	1
1494	отличная от	1	1
1495	и оставаться	1	1
1496	языка в	6	1
1497	могли бы	3	1
1498	этому предмету	1	1
1499	же образ	1	1
1500	разница между	3	1
1501	несколько более	1	1
1502	быть средством	1	1
1503	и сила	2	1
1504	слово есть	12	1
1505	то какое	1	1
1506	быть объяснены	1	1
1507	одном смысле	1	1
1508	хотя уже	2	1
1509	вообще в	1	1
1510	от света	1	1
1511	с самого	1	1
1512	в вопросе	1	1
1513	он ни	1	1
1514	отличие от	2	1
1515	понимание этого	1	1
1516	а его	1	1
1517	эти последние	3	1
1518	как действительность	1	1
1519	все человеческое	1	1
1520	миросозерцание есть	1	1
1521	с с	1	1
1522	особенным образом	1	1
1523	в наше	1	1
1524	себе это	2	1
1525	в самых	1	1
1526	стихии его	1	1
1527	не могу	1	1
1528	этот звук	3	1
1529	оказалось бы	1	1
1530	которую не	1	1
1531	из ряда	1	1
1532	к чему-то	1	1
1533	знает но	1	1
1534	не дает	2	1
1535	и речи	1	1
1536	однако если	1	1
1537	мы различаем	2	1
1538	общее между	1	1
1539	не один	2	1
1540	то уже	2	1
1541	ограничиться только	1	1
1542	восстановить в	1	1
1543	субъекта и	1	1
1544	самому себе	1	1
1545	отношение между	1	1
1546	противоречие и	1	1
1547	не отличаются	1	1
1548	уже по	3	1
1549	самосознания и	2	1
1550	первое и	1	1
1551	разумеется это	1	1
1552	может понять	1	1
1553	в мертвых	1	1
1554	было только	1	1
1555	в одинаковой	1	1
1556	связана с	1	1
1557	о пользе	1	1
1558	словами но	1	1
1559	ее отличие	1	1
1560	как тем	1	1
1561	листьев и	2	1
1562	форма есть	2	1
1563	не существовало	1	1
1564	в системе	2	1
1565	еще только	2	1
1566	такими же	1	1
1567	ничего нового	1	1
1568	нее а	1	1
1569	следовательно вообще	1	1
1570	чего мы	1	1
1571	хотя в	3	1
1572	понятия в	1	1
1573	из него	4	1
1574	не могла	2	1
1575	и тот	5	1
1576	мысль есть	1	1
1577	конечно в	1	1
1578	в нашей	1	1
1579	факт что	1	1
1580	что нам	1	1
1581	когда говорили	1	1
1582	такое что	1	1
1583	имеет свое	1	1
1584	относится и	1	1
1585	книг и	1	1
1586	это если	1	1
1587	не следует	6	1
1588	например и	2	1
1589	в пределах	1	1
1590	бы уже	1	1
1591	и я	3	1
1592	чтобы их	1	1
1593	но так	3	1
1594	и другая	2	1
1595	слово из	1	1
1596	уже одно	1	1
1597	остается и	1	1
1598	что бы	1	1
1599	необходимой для	1	1
1600	думать что	6	1
1601	самое время	1	1
1602	с человеком	1	1
1603	с то	1	1
1604	в которое	1	1
1605	нам о	1	1
1606	входить в	1	1
1607	a priori	1	1
1608	бы было	3	1
1609	или наконец	1	1
1610	другой форме	1	1
1611	меня то	2	1
1612	если только	1	1
1613	это знание	1	1
1614	как перед	1	1
1615	вдаваясь в	1	1
1616	как из	1	1
1617	нечто вроде	2	1
1618	по той	1	1
1619	предметов и	1	1
1620	свойство и	1	1
1621	ясно также	1	1
1622	должен знать	1	1
1623	же самое	3	1
1624	скажем что	2	1
1625	есть такое	1	1
1626	же отвергнуть	1	1
1627	не связанных	1	1
1628	заставляет нас	3	1
1629	форма в	5	1
1630	чем она	1	1
1631	этот предмет	2	1
1632	один в	1	1
1633	тех пор	5	1
1634	во многом	3	1
1635	это потому	2	1
1636	оно должно	1	1
1637	природы и	2	1
1638	вообще только	1	1
1639	и свойств	1	1
1640	содержание понятия	1	1
1641	определенное значение	1	1
1642	оно имеет	3	1
1643	до сознания	2	1
1644	и понятия	4	1
1645	но есть	3	1
1646	эту силу	1	1
1647	и каждый	1	1
1648	сознание есть	2	1
1649	могут быть	6	1
1650	но нет	2	1
1651	бы он	1	1
1652	одним из	3	1
1653	звуков а	2	1
1654	сам в	1	1
1655	которое мы	2	1
1656	д а	1	1
1657	и трижды	1	1
1658	что может	1	1
1659	ее из	1	1
1660	эти признаки	1	1
1661	понять что	1	1
1662	с которым	3	1
1663	в человеческой	3	1
1664	отношения если	1	1
1665	же в	3	1
1666	следовательно к	1	1
1667	нет как	1	1
1668	бы оно	2	1
1669	к новому	1	1
1670	каждый член	1	1
1671	себе он	1	1
1672	идея и	1	1
1673	всего на	1	1
1674	чем та	1	1
1675	а как	2	1
1676	его сущности	1	1
1677	который был	1	1
1678	и новые	1	1
1679	та и	2	1
1680	это в	2	1
1681	если на	1	1
1682	к объективному	1	1
1683	сознании в	1	1
1684	смысле мы	1	1
1685	еще менее	1	1
1686	явление если	1	1
1687	как совокупность	2	1
1688	только одну	2	1
1689	таким же	2	1
1690	чем и	1	1
1691	своим присутствием	1	1
1692	есть синтез	1	1
1693	и дерево	1	1
1694	имеет свою	2	1
1695	о различии	1	1
1696	в один	4	1
1697	не одна	1	1
1698	от них	4	1
1699	он с	1	1
1700	смысл что	1	1
1701	понятия и	3	1
1702	себя то	1	1
1703	было что	1	1
1704	одного и	2	1
1705	как субстанцию	1	1
1706	и наконец	3	1
1707	этим последним	4	1
1708	нас это	1	1
1709	кажется что	3	1
1710	и полезных	1	1
1711	бесконечно разнообразно	1	1
1712	как символ	1	1
1713	не имеющий	1	1
1714	себе а	4	1
1715	имя но	1	1
1716	и идея	1	1
1717	меньше чем	1	1
