N	2gram	Tiupa_Hudo	slovoVRo
1309	и никогда	1	1
1310	что среди	1	1
1311	в театре	4	1
1312	и себе	1	1
1313	и нельзя	1	1
1314	существует в	1	1
1315	к человеческому	1	1
1316	бы он	1	1
1317	и творческой	1	1
1318	этом и	2	1
1319	говорит вот	1	1
1320	о других	1	1
1321	самому себе	1	1
1322	по аналогии	1	1
1323	это ощущение	1	1
1324	между романом	1	1
1325	было доступно	1	1
1326	не замечать	1	1
1327	в первой	6	1
1328	рассказах о	1	1
1329	соединении с	1	1
1330	есть его	1	1
1331	к внешнему	2	1
1332	далека от	1	1
1333	которая на	1	1
1334	в общем	1	1
1335	этот рассказ	1	1
1336	представлена в	1	1
1337	дает себя	1	1
1338	происходит в	1	1
1339	говорить об	2	1
1340	своей и	1	1
1341	иной раз	1	1
1342	же мы	1	1
1343	на будущее	1	1
1344	значимость и	1	1
1345	автора как	1	1
1346	его к	1	1
1347	на который	1	1
1348	все более	1	1
1349	еще резче	1	1
1350	человек не	1	1
1351	за все	1	1
1352	отнюдь не	4	1
1353	последние десятилетия	1	1
1354	эти два	1	1
1355	исключительно важная	1	1
1356	которым он	1	1
1357	бытия в	1	1
1358	говорит только	1	1
1359	ни был	1	1
1360	таким же	1	1
1361	чтобы не	3	1
1362	от массы	1	1
1363	себе а	1	1
1364	каждого из	3	1
1365	в лице	3	1
1366	в который	1	1
1367	пути к	1	1
1368	дело здесь	2	1
1369	в пространстве	1	1
1370	жизнью и	3	1
1371	не слышит	3	1
1372	где мы	1	1
1373	этический момент	1	1
1374	искусства в	1	1
1375	жизни личности	2	1
1376	же о	2	1
1377	превращаются в	1	1
1378	по причине	2	1
